Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
GOODENIACEAE,Brunonia australis,"n,nt,q,s,t,v,w",,,Cahill (pers. comm.),,,,Suitable,Low,
GOODENIACEAE,Dampiera alata,w,,,,,Hill (1990),,Suitable,Low,
GOODENIACEAE,Dampiera linearis,w,,,"Podger (1968), Shivas (1989)",McDougall (1997),,,Suitable,Low,
GOODENIACEAE,Goodenia coerulea,w,,,,"McDougall (1997), Wills (1993)",,,Suitable,Low,
GOODENIACEAE,Goodenia geniculata,"s,t,v",,,Cahill (pers. comm.),Groves et al. (2009),,,Suitable,Low,
GOODENIACEAE,Goodenia hederacea,"a,n,q,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
GOODENIACEAE,Goodenia humilis,"n,s,t,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
GOODENIACEAE,Goodenia lanata,"t,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
GOODENIACEAE,Goodenia ovata,"n,q,s,t,v",,,Cahill (pers. comm.),,,,Suitable,Low,
GOODENIACEAE,Goodenia scapigera,w,,,,Wills (1993),,,Suitable,Low,
GOODENIACEAE,Lechenaultia biloba,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996), Taylor (1974)","McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
GOODENIACEAE,Lechenaultia floribunda,w,,,Taylor (1974),,,,Suitable,Low,
GOODENIACEAE,Lechenaultia formosa,w,,,Taylor (1974),Freebury (pers. comm.),,,Suitable,Low,
GOODENIACEAE,Lechenaultia hirsuta,w,,,Taylor (1974),,,,Suitable,Low,
GOODENIACEAE,Scaevola calliptera,w,,,McDougall (1997),,McDougall (1997),,Suitable,Low,
GOODENIACEAE,Scaevola striata,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
GOODENIACEAE,Scaevola thesioides,w,,,Taylor (1974),,,,Suitable,Low,
GOODENIACEAE,Goodenia brendannarum,w,,,,"Barrett (pers. comm.), Shearer & Crane (unpub. data)",,,Suitable,Low,
HAEMODORACEAE,Anigozanthos flavidus,w,,,,"Titze & Palzer (1969), Freebury (pers. comm.)",,,Suitable,Low,
HAEMODORACEAE,Anigozanthos manglesii,w,,,,McDougall (pers. comm.),,,Suitable,Low,
HAEMODORACEAE,Anigozanthos rufus,w,,,,Titze & Palzer (1969),,,Suitable,Low,
HAEMODORACEAE,Conostylis aculeata,w,,,Shearer & Dillon (1996),"Shearer & Dillon (1996), Freebury (pers. comm.)",,,Suitable,Low,
HAEMODORACEAE,Conostylis misera,w,E,,,Barrett (pers. comm.),,,Suitable,Low,
HAEMODORACEAE,Conostylis pusilla,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
HAEMODORACEAE,Conostylis seorsiflora subsp. trichophylla,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
HAEMODORACEAE,Conostylis serrulata,w,,,Shearer & Dillon (1996),"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
HAEMODORACEAE,Conostylis setigera,w,,,"Podger (1968), Shivas (1989)","McDougall (1997), Wills (1993)",,,Suitable,Low,
HAEMODORACEAE,Conostylis setosa,w,,,Shearer & Dillon (1996),"McDougall (1997), Wills (1993)",,,Suitable,Low,
HAEMODORACEAE,Haemodorum paniculatum,,,,,Groves et al. (2009),,,Suitable,Low,
HAEMODORACEAE,Macropidia fuliginosa,w,,,Titze & Palzer (1969),Titze & Palzer (1969),,,Suitable,Low,
HAEMODORACEAE,Phlebocarya ciliata,w,,,,Bishop et al. (2010),,,Suitable,Low,
HALORAGACEAE,Gonocarpus benthamii subsp. Stirling (C.J.Robertson 1080) WA Herbarium,w,,CE,,Barrett (pers. comm.),,,Suitable,Moderate,
HALORAGACEAE,Gonocarpus mezianus,"s,v",,,Cahill (pers. comm.),,VNPS (1995),,Suitable,Low,
HALORAGACEAE,Gonocarpus rudis,w,,,,Barrett (pers. comm.),,,Suitable,Low,
HALORAGACEAE,Gonocarpus tetragynus,"a,n,q,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",Groves et al. (2009),,,Suitable,Low,
HALORAGACEAE,Gonocarpus teucrioides,"n,q,t,v",,,"McDougall (pers. comm.), Podger et al. (1990), Pratt & Heather (1973), Schahinger et al. (2003)",Howard et al. (2004),McDougall (pers. comm.),,Suitable,Low,
HALORAGACEAE,Haloragodendron lucasii,n,E,,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,High,
HALORAGACEAE,Haloragodendron monospermum,n,,V,Taylor (1974),,,,Suitable,Moderate,
HEMEROCALLIDACEAE,Agrostocrinum scabrum,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
HEMEROCALLIDACEAE,Dianella amoena,"t,v",,,,,"Barker & Wardlaw (1995), Schahinger et al. (2003)",,Suitable,Low,
HEMEROCALLIDACEAE,Dianella longifolia,"a,n,nt,q,s,v,w",,,Cahill (pers. comm.),,,,Suitable,Low,
HEMEROCALLIDACEAE,Dianella revoluta,"a,n,q,s,t,v,w",,,"Shearer & Dillon (1995), Shearer & Dillon (1996), Weste (2001)",,Shearer & Dillon (1996),,Suitable,Low,
HEMEROCALLIDACEAE,Dianella tasmanica,"a,n,t,v",,,"Podger (1989), Podger et al. (1990)",,,,Suitable,Low,
HEMEROCALLIDACEAE,Johnsonia lupulina,w,,,,"Barrett (1996), Wills (1993)",,,Suitable,Low,
HEMEROCALLIDACEAE,Johnsonia teretifolia,w,,,,Groves et al. (2009),,,Suitable,Low,
HEMEROCALLIDACEAE,Tricoryne elatior,"a,n,nt,q,s,t,v,w",,,,"McDougall (1997), Barrett (pers. comm.)",,,Suitable,Low,
HYPERICACEAE,Hypericum gramineum,"a,n,nt,q,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,
ICACINACEAE,Apodytes brachystylis,q,,,,Worboys et al. (2003),,,Suitable,Low,
ICACINACEAE,Citronella smythii,q,,,,Worboys et al. (2003),,,Suitable,Low,
ICACINACEAE,Irvingbaileya australis,q,,,,Worboys et al. (2003),,,Suitable,Low,
IRIDACEAE,Diplarrena moraea,"n,t,v",,,"McDougall & Summerell (2003), Podger (1989), Podger et al. (1990)",,McDougall (pers. comm.),,Suitable,Low,
IRIDACEAE,Isophysis tasmanica,t,,,Schahinger et al. (2003),,,Rudman & Balmer (2008),Suitable,Moderate,
IRIDACEAE,Orthrosanthus laxus,w,,,,Roleybushcare (2022),,,Suitable,Low,
IRIDACEAE,Orthrosanthus muelleri,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,"Habitat not typically susceptible eg wandoo / yate woodland, changed to Low"
IRIDACEAE,Patersonia babianoides,w,,,,,McDougall (1997),,Suitable,Low,
IRIDACEAE,Patersonia fragilis,"a,n,q,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
IRIDACEAE,Patersonia glabrata,"n,q,v",,,,,Howard et al. (2004),,Suitable,Low,
IRIDACEAE,Patersonia juncea,w,,,DBCA (2021),,,,Suitable,Low,
IRIDACEAE,Patersonia limbata,w,,,DBCA (2021),,,,Suitable,Low,
IRIDACEAE,Patersonia occidentalis,"s,t,v,w",,,"Shearer & Dillon (1995), Shearer & Dillon (1996), Shivas (1989), DBCA (2021)",Rudman (pers. comm.),"Hill (1990), Podger (1972), Shearer & Dillon (1996)",Freebury (pers. comm.),Suitable,Low,
IRIDACEAE,Patersonia pygmaea,w,,,Gardner & Rokich (1987),"McDougall (1997), Shearer & Dillon (1996)",,Gardner & Rokich (1987),Suitable,Low,
IRIDACEAE,Patersonia rudis,w,,,"Shearer & Dillon (1995), DBCA (2021)",,McDougall (1997),,Suitable,Low,
IRIDACEAE,Patersonia sericea,"n,q,v",,,Pratt & Heather (1973),,,,Suitable,Low,
IRIDACEAE,Patersonia umbrosa,w,,,"Shearer & Dillon (1995), DBCA (2021)",,,Freebury (pers. comm.),Suitable,Low,
JUNCACEAE,Juncus australis,"a,n,s,t,v",,,,Groves et al. (2009),,,Suitable,Low,
LAMIACEAE,Gmelina fasciculiflora,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAMIACEAE,Hemiandra gardneri,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
LAMIACEAE,Hemiandra pungens,w,,,,Roleybushcare (2022),,,Suitable,Low,
LAMIACEAE,Hemiandra sp. Watheroo (S. Hancocks 4),w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
LAMIACEAE,Hemigenia curvifolia,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
LAMIACEAE,Hemigenia exilis,w,,,,Shearer & Dillon (1996),,,Suitable,Low,
LAMIACEAE,Hemigenia ramosissima,w,,,,McDougall (1997),,,Suitable,Low,
LAMIACEAE,Prostanthera askania,n,E,,,McDougall (pers. comm.),,,Suitable,Low,
LAMIACEAE,Prostanthera cuneata,"a,n,t,v",,,"Rigg et al. (2018), Taylor (1974)",Rigg et al. (2018),,,Unsuitable,Low,
LAMIACEAE,Prostanthera decussata,"a,n,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
LAMIACEAE,Prostanthera eurybioides,s,E,,Kueh (2011),,,Kueh (2011),Suitable,Moderate,
LAMIACEAE,Prostanthera lasianthos,"a,n,q,t,v",,,"Podger et al. (1990), Taylor (1974)",,,,Suitable,Low,
LAMIACEAE,Prostanthera marifolia,n,CE,,Wan et al. (2019),,,Wan et al. (2019),Suitable,Very high,
LAMIACEAE,Prostanthera ovalifolia,"n,q",,,Taylor (1974),,,,Suitable,Low,
LAMIACEAE,Prostanthera palustris,n,V,,,McDougall (pers. comm.),,,Suitable,Low,
LAMIACEAE,Prostanthera ringens,"n,q",,,Taylor (1974),,,,Mostly unsuitable,Low,
LAMIACEAE,Prostanthera saxicola var. montana,n,,V,Taylor (1974),,,,Suitable,Moderate,
LAMIACEAE,Prostanthera staurophylla,n,CE,,,McDougall (pers. comm.),,,Suitable,Moderate,
LAMIACEAE,Prostanthera stricta,n,V,,,McDougall (pers. comm.),,,Suitable,Low,
LAMIACEAE,Prostanthera walteri,"n,v",,V,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,High,"All populations are small, there are very few populations and the pathogen is already present in at least one population, changed to High"
LAURACEAE,Beilschmiedia bancroftii,q,,,,,Worboys et al. (2003),,Suitable,Low,
LAURACEAE,Beilschmiedia collina,q,,,Brown (1998),,,,Suitable,Low,
LAURACEAE,Beilschmiedia tooram,q,,V,,,Worboys et al. (2003),,Suitable,Low,
LAURACEAE,Cassytha flava,w,,,,Groves et al. (2009),,,Suitable,Low,
LAURACEAE,Cassytha glabella,"n,q,s,t,v,w",,,,McDougall (pers. comm.),,,Suitable,Low,
LAURACEAE,Cinnamomum oliveri,"n,q",,,Brown (1998),,,Worboys (pers. comm.),Suitable,Low,
LAURACEAE,Cryptocarya angulata,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Cryptocarya corrugata,q,,,Brown (1998),Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Cryptocarya densiflora,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Cryptocarya glaucescens,"n,q",,,Brown (1998),,,,Suitable,Low,
LAURACEAE,Cryptocarya leucophylla,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Cryptocarya lividula,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Cryptocarya mackinnoniana,q,,,,,Worboys et al. (2003),,Suitable,Low,
LAURACEAE,Cryptocarya putida,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Endiandra bessaphila,q,,,,,Worboys et al. (2003),,Suitable,Low,
LAURACEAE,Endiandra dichrophylla,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Endiandra monothyra subsp. monothyra,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Endiandra montana,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Endiandra sankeyana,q,,,,Worboys et al. (2003),,,Suitable,Low,
LAURACEAE,Endiandra wolfei,q,,,,Worboys et al. (2003),,,Suitable,Low,
LENTIBULARIACEAE,Utricularia multifida,w,,,,Wills (1993),,,Suitable,Low,
LINDSAEACEAE,Lindsaea linearis,"n,q,s,t,v,w",,,Weste (2001),"Rudman (pers. comm.), Wills (1993)",Weste (2001),,Suitable,Low,
LOGANIACEAE,Mitrasacme pilosa,"n,s,t,v",,,Podger et al. (1990),,,,Suitable,Low,
LOGANIACEAE,Orianthera serpyllifolia,w,,,McDougall (1997),Wills (1993),McDougall (1997),,Suitable,Low,
LOGANIACEAE,Schizacme montana,"t,v",,,,,Rudman & Balmer (2008),,Suitable,Low,
LORANTHACEAE,Nuytsia floribunda,w,,,,"McDougall (pers. comm.), Barrett (pers. comm.)",,,Suitable,Low,
LYCOPODIACEAE,Lycopodium deuterodensum,"n,q,s,t,v",,,McDougall et al. (2003),,McDougall (pers. comm.),,Suitable,Low,
MALVACEAE,Alyogyne hakeifolia,"s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MALVACEAE,Argyrodendron actinophyllum,"n,q",,,Brown (1998),,,,Suitable,Low,
MALVACEAE,Brachychiton acerifolius,"n,q",,,,Groves et al. (2009),,,Suitable,Low,
MALVACEAE,Commersonia erythrogyna,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MALVACEAE,Franciscodendron laurifolium,q,,V,,,Worboys et al. (2003),,Suitable,Low,
MALVACEAE,Lasiopetalum dielsii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MALVACEAE,Lasiopetalum floribundum,w,,,"Gardner & Rokich (1987), Podger (1968), Shivas (1989)",,"Edmiston (1989), Podger (1972), Shearer & Dillon (1996)",McDougall (1997),Suitable,Low,
MALVACEAE,Lasiopetalum glabratum,w,,V,Shearer & Dillon (1995),,,,Suitable,Moderate,
MALVACEAE,Lasiopetalum membraniflorum,w,,CE,,Barrett (pers. comm.),,,Suitable,Moderate,
MALVACEAE,Lasiopetalum monticola,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MALVACEAE,Lasiopetalum pterocarpum,w,,CE,,Shearer & Crane (unpub. data),,,Suitable,Moderate,
MALVACEAE,Thomasia brachystachys,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MALVACEAE,Thomasia grandiflora,w,,,"Hill (1990), Podger (1968), Shivas (1989)",,Hill (1990),,Suitable,Low,
MALVACEAE,Thomasia pauciflora,w,,,"Podger (1968), Shivas (1989)",,,,Suitable,Low,
MALVACEAE,Thomasia solanacea,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MELIACEAE,Synoum glandulosum,"n,q",,,Brown (1998),Worboys et al. (2003),,,Suitable,Low,
MENYANTHACEAE,Ornduffia calthifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MENYANTHACEAE,Ornduffia marchantii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRISTICACEAE,Myristica insipida,"nt,q,w",,,Brown (1998),,,,Suitable,Low,
MYRTACEAE,Agonis flexuosa,w,,,Shivas (1989),Roleybushcare (2022),Barrett (pers. comm.) ,,Suitable,Low,
MYRTACEAE,Agonis theiformis,w,,,"Shivas (1989), DBCA (2021)",Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Angophora costata,"n,q",,,Summerell (pers. comm.),,Summerell (pers. comm.),,Suitable,Low,
MYRTACEAE,Astartea fascicularis,w,,,"Taylor (1974), Wills (1993)",Wills (1993),,,Suitable,Low,
MYRTACEAE,Astartea scoparia,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Babingtonia camphorosmae,w,,,,"Gardner & Rokich (1987), McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
MYRTACEAE,Baeckea leptocaulis,t,,,"Podger & Brown (1989), Podger et al. (1990), Schahinger et al. (2003)",,Rudman & Balmer (2008),,Suitable,Low,
MYRTACEAE,Baeckea linifolia,"n,q,v",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Baeckea pachyphylla,w,,,,Hart (1983),,,Suitable,Low,
MYRTACEAE,Beaufortia anisandra,w,,V,"Hart (1983), DBCA (2021)",,"Hart (1983), Barrett (pers. comm.)",Wills (1993),Suitable,Moderate,
MYRTACEAE,Beaufortia cyrtodonta,w,,,,,Moore (2005),,Suitable,Low,
MYRTACEAE,Beaufortia decussata,w,,,,Barrett (pers. comm.),Wills (1993),,Suitable,Low,
MYRTACEAE,Beaufortia elegans,w,,,Hill (1990),,,,Suitable,Low,
MYRTACEAE,Beaufortia empetrifolia,w,,,,,Wills (1993),Barrett (pers. comm.),Suitable,Low,
MYRTACEAE,Beaufortia eriocephala,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Beaufortia incana,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Beaufortia micrantha,w,,,DBCA (2021),,,Wills (1993),Suitable,Low,
MYRTACEAE,Beaufortia puberula,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,
MYRTACEAE,Beaufortia sparsa,w,,,"Podger (1968), Shivas (1989), Taylor (1974)",Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Beaufortia squarrosa,w,,,Shivas (1989),,,,Suitable,Low,
MYRTACEAE,Callistemon citrinus,"n,q,v",,,Robertson (1970),"Shearer & Crane (unpub. data), Roleybushcare (2022)",,,Suitable,Low,
MYRTACEAE,Callistemon glaucus,w,,,,Barrett (pers. comm.),,,Suitable,Low,
MYRTACEAE,Callistemon pallidus,"a,n,q,t,v",,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Callistemon phoeniceus,w,,,DBCA (2021),,,,Suitable,Low,
MYRTACEAE,Callistemon purpurascens,n,CE,,,McDougall (pers. comm.),,,Suitable,Moderate,
MYRTACEAE,Callistemon salignus,"n,q",,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Calothamnus accedens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus affinis,w,,V,Wills (1993),Wills (1993),Barrett et al. (2008),Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Calothamnus graniticus subsp. graniticus ,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus hirsutus,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus lateralis var. crassus,w,,E,,Groves et al. (2009),Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Calothamnus macrocarpus,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus montanus,w,,E,Barrett (pers. comm.),,Barrett et al. (2008),,Suitable,Moderate,
MYRTACEAE,Calothamnus quadrifidus,w,,,Wills (1993),"Wills (1993), Shearer & Crane (unpub. data)",,,Suitable,Low,
MYRTACEAE,Calothamnus robustus,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus sanguineus,w,,,Wills (1993),Wills (1993),Moore (2005),,Suitable,Low,
MYRTACEAE,Calothamnus scabridus,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Calothamnus validus,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calothamnus villosus,w,,,,,Hill (1990),,Suitable,Low,
MYRTACEAE,Calytrix alpestris,"s,v",,,Taylor (1974),,,,Suitable,Low,
MYRTACEAE,Calytrix asperula,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
MYRTACEAE,Calytrix breviseta subsp. breviseta,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Calytrix flavescens,w,,,"Podger (1968), Shivas (1989)","Wills (1993), Barrett (pers. comm.)",Moore (2005),,Suitable,Low,
MYRTACEAE,Calytrix leschenaultii,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Calytrix tenuiramea,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
MYRTACEAE,Calytrix tetragona,"a,n,q,s,t,v,w",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Taylor (1974), Weste (2001)",,"Rudman (pers. comm.), VNPS (1995)",Weste (2001),Suitable,Low,
MYRTACEAE,Chamelaucium axillare,w,,,Shivas (1989),,,,Suitable,Low,
MYRTACEAE,Chamelaucium ciliatum,w,,,"Shivas (1989), Taylor (1974)",,,,Mostly unsuitable,Low,
MYRTACEAE,Chamelaucium confertiflorum,w,,E,DBCA (2021),,,,Suitable,High,
MYRTACEAE,Chamelaucium erythrochlorum,w,,CE,,,Keighery (1992),,Suitable,High,
MYRTACEAE,Chamelaucium forrestii,w,,CE,DBCA (2021),,Freebury (pers. comm.),,Suitable,High,
MYRTACEAE,Chamelaucium orarium,w,,CE,,,Shearer & Crane (unpub. data),,Suitable,High,
MYRTACEAE,Chamelaucium roycei,w,,E,,,Keighery (1992),,Suitable,Moderate,
MYRTACEAE,Chamelaucium sp. Cataby (G.J.Keighery 11009),w,V,CE,,,Keighery (1992),Shearer & Crane (unpub. data),Suitable,Very high,
MYRTACEAE,Chamelaucium uncinatum,w,,,Shivas (1989),,,,Suitable,Low,
MYRTACEAE,Corymbia calophylla,w,,,"McDougall (1997), DBCA (2021)","Gardner & Rokich (1987), Podger (1972), Shearer & Dillon (1996)",,,Suitable,Low,
MYRTACEAE,Corymbia citriodora,"n,q",,,DBCA (2021),Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Corymbia ficifolia,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Corymbia gummifera,"n,q,v",,,Pratt & Heather (1973),,Howard et al. (2004),,Suitable,Low,
MYRTACEAE,Corymbia haematoxylon,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Corymbia maculata,"n,v",,,Podger & Batini (1971),"McDougall (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
MYRTACEAE,Corymbia tessellaris,"n,q",,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Cyathostemon heterantherus,w,,,"Gardner & Rokich (1987), Taylor (1974)",Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Darwinia carnea,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Darwinia chapmaniana,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
MYRTACEAE,Darwinia citriodora,w,,,,"Gardner & Rokich (1987), Freebury (pers. comm.)",,,Suitable,Low,
MYRTACEAE,Darwinia collina,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,Keighery (1992),"Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,Very high,
MYRTACEAE,Darwinia ferricola,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Darwinia hypericifolia,w,,E,,,Barrett (pers. comm.),Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Darwinia leiostyla,w,,CE,,Wills (1993),Barrett et al. (2008),Shearer & Crane (unpub. data),Suitable,High,"Mild response typically observed  in the field, changed to High"
MYRTACEAE,Darwinia meeboldii,w,V,CE,DBCA (2021),,Keighery (1992),,Suitable,High,
MYRTACEAE,Darwinia nubigena,w,V,CE,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
MYRTACEAE,Darwinia oxylepis,w,E,,DBCA (2021),,Keighery (1992),Barrett (pers. comm.),Suitable,Very high,
MYRTACEAE,Darwinia peduncularis,n,,V,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,Moderate,
MYRTACEAE,Darwinia squarrosa,w,V,CE,DBCA (2021),,"Barrett et al. (2008), Shearer & Crane (unpub. data)",,Suitable,High,
MYRTACEAE,Darwinia vestita,w,,,,Wills (1993),,,Suitable,Low,
MYRTACEAE,Darwinia wittwerorum,w,E,CE,"Barrett (pers. comm.), DBCA (2021)",Shearer & Crane (unpub. data),,Barrett (pers. comm.),Suitable,Very high,
MYRTACEAE,Eremaea acutifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eremaea blackwelliana,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eremaea pauciflora,w,,,"Hill (1990), Taylor (1974)",,,,Suitable,Low,
MYRTACEAE,Eucalyptus acaciiformis,n,,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus accedens,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus acies,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,
MYRTACEAE,Eucalyptus acmenoides,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,
MYRTACEAE,Eucalyptus amygdalina,t,,,"Podger et al. (1990), Pratt & Heather (1973)",Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus andrewsii,"n,q",,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus angulosa,"s,w",,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus aquilina,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus arachnaea subsp. arrecta,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus argutifolia,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus aromaphloia,v,,,Weste (2001),Weste (2001),,,Suitable,Low,
MYRTACEAE,Eucalyptus astringens,w,,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus baxteri,"n,s,v",,,"Kueh (2011), Podger & Batini (1971), Weste (2001)",,Velzeboer (pers. comm.),"Kueh (2011), Weste (2001)",Suitable,Low,
MYRTACEAE,Eucalyptus beardiana,w,V,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus blaxellii,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
MYRTACEAE,Eucalyptus botryoides,"n,v",,,Podger & Batini (1971),Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus brevipes,w,E,,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus buprestium,w,,,,Groves et al. (2009),,,Suitable,Low,
MYRTACEAE,Eucalyptus caesia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
MYRTACEAE,Eucalyptus calcicola,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus camaldulensis,"a,n,nt,q,s,v",,,Podger & Batini (1971),Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus cerasiformis,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
MYRTACEAE,Eucalyptus cinerea,"a,n",,,,Roleybushcare (2022),,,Suitable,Low,
MYRTACEAE,Eucalyptus cladocalyx,s,,,"Kueh (2011), Podger & Batini (1971)",Roleybushcare (2022),,Kueh (2011),Suitable,Low,
MYRTACEAE,Eucalyptus cloeziana,q,,,Podger & Batini (1971),,,,Suitable,Low,
MYRTACEAE,Eucalyptus coccifera,t,,,,Rudman (pers. comm.),,,Suitable,Low,
MYRTACEAE,Eucalyptus conferruminata,w,,,,Gardner & Rokich (1987),,,Suitable,Low,
MYRTACEAE,Eucalyptus consideniana,"n,v",,,Cahill (pers. comm.),,VNPS (1995),,Suitable,Low,
