taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Melaleuca thapsina,"grey sand, brown gravelly sand or clay, silt, granite, laterite. flats, slopes of range, clay depressions, edges of small lakes, road verges.", grey sand brown gravelly sand or clay silt granite laterite flats slopes of range clay depressions edges of small lakes road verges ,,,,,,,,,depressions flats slopes,depressions flats slopes,lakes,lakes,brown grey,brown grey,granitic lateritic,granite laterite,clay gravel sand silt,clay gravelly sand silt,,
Stylidium hortiorum,"brown sandy clay and gravel, laterite. breakaways and slopes, open woodland, proteaceous shrubland.", brown sandyclay and gravel laterite breakaways and slopes openwoodland proteaceous shrubland ,,,,,,,,,breakaways slopes,breakaways slopes,woodland_open shrubland,openwoodland openwoodland shrubland,brown,brown,lateritic,laterite,gravel clay_sandy,gravel sandyclay,,
Stenopetalum gracile,"sand, clay, peat, limestone, laterite. coastal dunes and beaches, hills, ridges, flats.", sand clay peat limestone laterite coastaldunes and beaches hills ridges flats ,,,,,,,,,flats hills ridges,flats hills ridges,sanddunes_coastal dunes_coastal beach,coastaldunes coastaldunes beaches,,,lateritic limestone,laterite limestone,clay peat sand,clay peat sand,,
Anagallis arvensis var. arvensis,"grey or peaty sand, red clayey sand, loam, laterite, sandstone, limestone. coastal areas, wet areas, rock outcrops, disturbed sites.", grey or peaty sand redclayey sand loam laterite sandstone limestone coastal areas wet areas rock outcrops disturbed sites ,,,,,,,wet,wet,coastal rocky_outcrop,coastal outcrops,disturbed,disturbed,grey,grey,lateritic limestone sandstone,laterite limestone sandstone,loam peat sand,loam peaty sand,,
Micromyrtus racemosa var. racemosa ms,"sandy loams, clay, gravel, laterite, ironstone, granite. uplands and gentle slopes, hills, plains, gravel pit, disturbed sites.", sandy loams clay gravel laterite ironstone granite uplands and gentle slopes hills plainss gravel pit disturbed sites ,,,,,,,,,hills plains slopes,hills plainss slopes,disturbed plains,disturbed plains,,,granitic iron lateritic,granite irons laterite,clay gravel loam sand,clay gravel loams sandy,,
Spirodela polyrhiza,,,,,,,,,,,,,,,,,,,,,,
Croton aridus,"deep red sand, pindan soil. sandplains or ridges, spinifex sandplains.", deep redsand pindan soil sandplainss or ridges spinifex sandplainss ,,,,,,,,,ridges,ridges,sandplain grassland_tussock,sandplains spinifex,red,reds,,,sand_red,redsand,,
Sida spenceriana,cracking black soil. plains., cracking black soil plainss ,,,,,,,,,plains,plainss,plains,plains,black,black,,,,,,
Platychorda rivalis,"peat, laterite. edges of swamps, valleys.", peat laterite edges of swamps valleys ,,,,,,,wet,swamps,valley,valleys,swamp,swamps,,,lateritic,laterite,peat,peat,,
Myriocephalus biflorus,"red silty loam, granite. rocky outcrops.", red silty loam granite rocky outcrops ,,,,,,,,,rocky_outcrop,outcrops,,,red,red,granitic,granite,loam soil_rocky silt,loam rocky silty,,
Stenopetalum salicola,"light brown, sandy, saline clay. margins of salt lakes.", lightbrown sandy saline clay margins of saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,brown_light,lightbrown,saline,saline,clay sand,clay sandy,,
Myriocephalus scalpellus,clay. depression on flood plain., clay depression on flood plains ,,,,,,,,,plains,plains,plains,plains,,,,,clay,clay,,
Marianthus bicolor,"sand, clay, loam, gravel, sandstone, laterite, granite. valleys, ridges, hills, flats, sandplains, roadsides.", sand clay loam gravel sandstone laterite granite valleys ridges hills flats sandplainss roadsidess ,,,,,,,,,flats hills ridges valley,flats hills ridges valleys,roadside sandplain,roadsidess sandplains,,,granitic lateritic sandstone,granite laterite sandstone,clay gravel loam sand,clay gravel loam sand,,
Stylidium semipartitum,"damp sand. sandstone plateau, near creeks.", damp sand sandstone plateau nearcreeks ,,,,,,,damp,damp,plateaus,plateau,streambanks,nearcreeks,,,sandstone,sandstone,sand,sand,,
Phymatocarpus interioris,well-drained sandy soil often over clay., welldrained sandy soil often over clay ,,,,,,,,,,,,,,,,,clay sand,clay sandy,draining,welldrained
Grevillea amplexans subsp. semivestita,"yellow clayey sand, laterite.", yellow clayey sand laterite ,,,,,,,,,,,,,yellow,yellow,lateritic,laterite,clay sand,clayey sand,,
Grevillea agrifolia subsp. agrifolia,"sand or loam, sandstone, quartzite, laterite, haematite. rocky sites, near creeks, on river banks, permanent watercourses, coastal areas.", sand or loam sandstone quartzite laterite haematite rockysites nearcreeks on riverbanks permanent watercourses coastal areas ,,,,,,,,,coastal rocky watercourses,coastal rockysites watercourses,streambanks streams,nearcreeks riverbanks watercourses riverbanks watercourses,,,lateritic quartzite sandstone,laterite quartzite sandstone,soil_rocky loam sand,rockysites loam rockys sand,,
Hibbertia carinata,"well-drained gravelly sand, yellow sand with gravel.", welldrained gravelly sand yellow sand with gravel ,,,,,,,,,,,,,yellow,yellow,,,gravel sand,gravel gravelly sand,draining,welldrained
Hibbertia axillibarba,lateritic soil. ranges., lateritic soil ranges ,,,,,,,,,,,,,,,lateritic,lateritic,,,,
Hibbertia charlesii,"skeletal loamy sand, granite. exposed mountain slopes.", skeletal loamysand granite exposed mountain slopes ,,,,,,,,,mountains slopes,mountain slopes,,,,,granitic,granite,sand_loamy loam skeletal,loamysand loamys skeletal,,
Hibbertia hamulosa,"sand, sand over quartzite. rocky slopes.", sand sand over quartzite rockyslopes ,,,,,,,,,slopes_rocky,rockyslopes,,,,,quartzite,quartzite,soil_rocky sand,rockys sand,,
Hibbertia ulicifolia,granitic sands. scree slopes., granitic sands scree slopes ,,,,,,,,,rocky slopes,scree slopes,rocky,scree,,,granitic,granitic,sand,sands,,
Grevillea hookeriana subsp. hookeriana,"sand, loam, clay, gravel, laterite, granite, quartzite. hilltops, gravel pits, road verges.", sand loam clay gravel laterite granite quartzite hilltops gravel pits road verges ,,,,,,,,,,,,,,,granitic lateritic quartzite,granite laterite quartzite,clay gravel loam sand,clay gravel loam sand,,
Brachysola halganiacea,deep yellow sand. flats., deep yellow sand flats ,,,,,,,,,flats,flats,,,yellow,yellow,,,sand,sand,,
Brachysola coerulea,"mainly sandy soils, laterite.", mainly sandy soils laterite ,,,,,,,,,,,,,,,lateritic,laterite,sand,sandy,,
Moraea ochroleuca,"sand, brown-red loam over clay. winter-wet flats, beside drain, road verges.", sand brownred loam over clay winterwetflats beside drain road verges ,,,,,,,,,flats inundated_intermittent,winterwetflats,,,,,,,clay loam sand,clay loam sand,,
Grevillea acropogon,"shallow soil, ironstone. margins of seasonally inundated areas.", shallowsoil ironstone margins of seasonally inundated areas ,,,,,,,,,,,,,,,iron,irons,soil_shallow,shallowsoil,,
Hibbertia porongurupensis,"loamy soils, moss swards, granite. rock crevices, rock outcrops.", loamy soils moss swards granite rock crevices rock outcrops ,,,,,,,,,rocky_outcrop,outcrops,crevices,crevices,,,granitic,granite,loam,loamy,,
Impatiens sodenii,brown loam over granite. exposed rocky hills., brown loam over granite exposed rocky hills ,,,,,,,,,hills,hills,,,brown,brown,granitic,granite,loam soil_rocky,loam rocky,,
Indigofera pilifera,,,,,,,,,,,,,,,,,,,,,,
Aluta quadrata,"edge of creek beds, base of cliffs, rocky crevices, near crest of ridge.", edge of creek beds base of cliffs rocky crevices near crest of ridge ,,,,,,,,,cliff ridges,cliffs ridge,streams crevices cliffs,creek crevices cliffs cliffs,,,,,soil_rocky,rocky,,
Melaleuca stereophloia,"red-brown sand, clay or loam, laterite, granite, sandstone. sandplains & ridges, floodplains, claypans, breakaways, along watercourses.", redbrown sand clay or loam laterite granite sandstone sandplainss  ridges floodplainss claypans breakaways along watercourses ,,,,,,,,,breakaways ridges watercourses,breakaways ridges watercourses,streambanks claypan floodplain sandplain streams,watercourses claypans floodplains sandplains watercourses,,,granitic lateritic sandstone,granite laterite sandstone,claypan clay loam sand,claypans clay claypans loam sand,,
Melaleuca grieveana,"well-drained orange-brown loam, brown clay. plains, gentle slopes, edge of crop paddocks.", welldrained orangebrown loam brown clay plainss gentle slopes edge of crop paddockss ,,,,,,,,,plains slopes,plainss slopes,paddock plains,paddockss plains,brown,brown,,,clay loam,clay loam,draining,welldrained
Melaleuca huttensis,"light yellow or beige sand. lower slopes of undulating plains, sandplains.", light yellow or beige sand lower slopes of undulating plainss sandplainss ,,,,,,,,,plains slopes undulating,plainss slopes undulating,plains sandplain,plains sandplains,yellow,yellow,,,sand,sand,,
Melaleuca eulobata,"orange-brown sand, red sand, pebbles, limestone. slopes, crests of rises.", orangebrown sand redsand pebbles limestone slopes crests of rises ,,,,,,,,,slopes,slopes,,,red,reds,limestone,limestone,sand_red sand,redsand sand,,
Setaria parviflora,"dark brown sandy loam, laterite. hillsides, disturbed areas.", darkbrown sandy loam laterite hillsides disturbed areas ,,,,,,,,,hills,hills hillsides,disturbed,disturbed,brown_dark,darkbrown,lateritic,laterite,loam sand,loam sandy,,
Acacia stellaticeps,"red sand, stony sand, clay. flats, sand ridges, plains, rubbish tip.", redsand stony sand clay flats sand ridges plainss rubbish tip ,,,,,,,,,flats plains ridges,flats plainss ridges,plains,plains,red,reds,,,sand_red clay sand stony,redsand clay sand stony,,
Ehrharta villosa var. villosa,white sand. coastal sand dunes., white sand coastal sanddunes ,,,,,,,,,coastal,coastal,sanddunes,sanddunes,white,white,,,sand,sand,,
Aluta aspera,"yellow or red or brown sand, sandy clay, laterite, granite.", yellow or red or brown sand sandyclay laterite granite ,,,,,,,,,,,,,brown red yellow,brown red yellow,granitic lateritic,granite laterite,sand clay_sandy,sand sandyclay,,
Aluta aspera subsp. localis,,,,,,,,,,,,,,,,,,,,,,
Aluta aspera subsp. hesperia,"yellow or red or brown sand or sandy clay. breakaways, rocky sites.", yellow or red or brown sand or sandyclay breakaways rockysites ,,,,,,,,,breakaways rocky,breakaways rockysites,,,brown red yellow,brown red yellow,,,soil_rocky sand clay_sandy,rockysites rockys sand sandyclay,,
Aluta aspera subsp. aspera,"yellow or red or brown sand or sandy clay, laterite, granite.", yellow or red or brown sand or sandyclay laterite granite ,,,,,,,,,,,,,brown red yellow,brown red yellow,granitic lateritic,granite laterite,sand clay_sandy,sand sandyclay,,
Aluta appressa,"yellow sand, yellow-brown clayey sand, gravel, laterite. ridges.", yellow sand yellowbrown clayey sand gravel laterite ridges ,,,,,,,,,ridges,ridges,,,yellow,yellow,lateritic,laterite,clay gravel sand,clayey gravel sand,,
Aluta maisonneuvei,"red sand, yellow clayey soil, laterite, sandstone, granite. sand dunes, sandplains, high rocky sites.", redsand yellow clayey soil laterite sandstone granite sanddunes sandplainss high rockysites ,,,,,,,,,rocky,rockysites,sanddunes sandplain,sanddunes sandplains,red yellow,reds yellow,granitic lateritic sandstone,granite laterite sandstone,sand_red soil_rocky clay sand,redsand rockysites clayey rockys sands,,
Aluta maisonneuvei subsp. maisonneuvei,"red sand, sandstone. sand dunes, sandplains, ridges.", redsand sandstone sanddunes sandplainss ridges ,,,,,,,,,ridges,ridges,sanddunes sandplain,sanddunes sandplains,red,reds,sandstone,sandstone,sand_red sand,redsand sands,,
Aluta teres,red clayey sand over hard pan. broad plain with spinifex., redclayey sand over hard pan broad plains with spinifex ,,,,,,,,,plains,plains,plains grassland_tussock,plains spinifex,,,,,sand,sand,,
Eucalyptus gittinsii subsp. gittinsii,"red sandy loam. sandplains, pastoral areas.", redsandy loam sandplainss pastoral areas ,,,,,,,,,,,sandplain,sandplains,red,reds,,,loam,loam,,
Eucalyptus extrica,white sand over limestone. coastal areas., white sand over limestone coastal areas ,,,,,,,,,coastal,coastal,,,white,white,limestone,limestone,sand,sand,,
Lechenaultia aphylla,"red sand. slopes, drainage areas.", redsand slopes drainage areas ,,,,,,,,,slopes,slopes,,,red,reds,,,sand_red,redsand,,
Grevillea microstyla,"sand, sandy loam, sandstone. shallow valley bottoms, below ridges.", sand sandy loam sandstone shallow valley bottoms below ridges ,,,,,,,,,ridges valley,ridges valley,,,,,sandstone,sandstone,loam sand,loam sand sandy,,
Grevillea wickhamii subsp. cratista,"sandy loam, sandstone. rocky sites, valley bottoms.", sandy loam sandstone rockysites valley bottoms ,,,,,,,,,rocky valley,rockysites valley,,,,,sandstone,sandstone,soil_rocky loam sand,rockysites loam rockys sands sandy,,
Grevillea wickhamii subsp. pallida,skeletal soils over sandstone. lower slopes near creeks., skeletal soils over sandstone lower slopes nearcreeks ,,,,,,,,,slopes,slopes,streambanks,nearcreeks,,,sandstone,sandstone,sand skeletal,sands skeletal,,
Grevillea wickhamii subsp. hispidula,red loamy to sandy soils. often near drainage lines., red loamy to sandy soils often near drainage lines ,,,,,,,,,,,,,red,red,,,loam sand,loamy sandy,,
Acacia aneura var. argentea,"sandy clayey loams. slight depressions in flat to slightly undulating country, diffuse drainage area.", sandyclayey loams slight depressions in flat to slightly undulating country diffuse drainage area ,,,,,,,,,depressions flats undulating,depressions flat undulating,,,,,,,loam,loams,,
Acacia aneura var. tenuis,"red sands, ironstone. gibber plains, near drainage channels, along creek on high rocky plain.", redsands ironstone gibber plainss near drainage channels alongcreeks on high rocky plains ,,,,,,,,,plains streambanks,plainss alongcreeks,streambanks plains,alongcreeks plains,red,reds,iron,irons,sand_red soil_rocky,redsands rocky,,
Acacia aneura var. microcarpa,"red loamy and loamy clay soils, laterite. sometimes on stream lines.", red loamy and loamy clay soils laterite sometimes on stream lines ,,,,,,,,,,,streams,stream,red,red,lateritic,laterite,clay loam,clay loamy,,
Melaleuca hamata,"brown clay, dry yellow loam, gravel, granite. watercourses, uplands.", brown clay dry yellow loam gravel granite watercourses uplands ,,,,,,,dry,dry,watercourses,watercourses,streambanks streams,watercourses watercourses,brown yellow,brown yellow,granitic,granite,clay gravel loam,clay gravel loam,,
Leucopogon sulcatus,"orange-yellow sandy loam, white sand, gravel, laterite, granite. gently undulating hills, plains, ridges.", orangeyellow sandy loam white sand gravel laterite granite gently undulating hills plainss ridges ,,,,,,,,,hills plains ridges undulating,hills plainss ridges undulating,plains,plains,white,white,granitic lateritic,granite laterite,gravel loam sand,gravel loam sand sandy,,
Grevillea tripartita subsp. tripartita,"white sand, gravelly loam, sand or clay over laterite. gentle slopes, near small salt lakes.", white sand gravelly loam sand or clay over laterite gentle slopes near small saltlakes ,,,,,,,,,slopes,slopes,lakes_salt,saltlakes,white,white,lateritic,laterite,clay gravel loam sand,clay gravelly loam sand,,
Grevillea plurijuga subsp. plurijuga,"sandy loamy soild, clay, gravel, laterite, limestone. on sand hills, adjacent to salt lakes.", sandy loamy soild clay gravel laterite limestone on sand hills adjacent to saltlakes ,,,,,,,,,hills,hills,lakes_salt,saltlakes,,,lateritic limestone,laterite limestone,clay gravel loam sand,clay gravel loamy sand sandy,,
Grevillea manglesioides subsp. metaxa,,,,,,,,,,,,,,,,,,,,,,
Acacia ramulosa var. ramulosa,"red clay loam, gritty sand, sandstone, granite. rocky gorges, rock outcrops, slopes, sandplains.", redclay loam gritty sand sandstone granite rocky gorges rock outcrops slopes sandplainss ,,,,,,,,,gorges rocky_outcrop slopes,gorges outcrops slopes,sandplain,sandplains,,,granitic sandstone,granite sandstone,clay_red loam soil_rocky sand,redclay loam rocky sand,,
Stylidium sidjamesii,"black sandy soil, brown loam. winter-wet swamp and floodway, margin of lake.", black sandy soil brown loam winterwet swamp and floodway margin of lake ,,,,,,,wet winterwet,swamp winterwet,,,swamp,swamp,black brown,black brown,,,loam sand,loam sandy,,
Guichenotia glandulosa,littered soil. creek lines., littered soil creek lines ,,,,,,,,,,,streams,creek,,,,,,,,
Acacia clelandii,sand. rocky hills and dunes., sand rocky hills and dunes ,,,,,,,,,hills,hills,sanddunes,dunes,,,,,soil_rocky sand,rocky sand,,
Acacia aneura var. pilbarana,,,,,,,,,,,,,,,,,,,,,,
Acacia aneura var. fuliginea,"sand, red clay loams.", sand redclay loams ,,,,,,,,,,,,,,,,,clay_red loam sand,redclay loams sand,,
Acacia atopa,red clay & red loam. sometimes in rocky situations., redclay  red loam sometimes in rocky situations ,,,,,,,,,,,,,red,red,,,clay_red loam soil_rocky,redclay loam rocky,,
Eucalyptus calycogona subsp. calycogona,"sandy or clay loam, calcareous clay, gravelly loam. undulating sites, flats, breakaways, roadverges.", sandy or clay loam calcareous clay gravelly loam undulating sites flats breakaways roadverges ,,,,,,,,,breakaways flats undulating,breakaways flats undulating,disturbed,roadverges,,,calcareous,calcareous,clay gravel loam sand,clay gravelly loam sandy,,
Pupalia micrantha,"grey-brown sand, clay. between coastal dunes, vinethickets.", greybrown sand clay between coastaldunes vinethickets ,,,,,,,,,,,sanddunes_coastal dunes_coastal vine_thicket,coastaldunes coastaldunes vinethickets,,,,,clay sand,clay sand,,
Verbena officinalis,brown sandy clay over laterite. river edges., brown sandyclay over laterite river edges ,,,,,,,,,,,streams,river,brown,brown,lateritic,laterite,clay_sandy,sandyclay,,
Platanus ×hispanica,"grey wet sand. spring-fed wetlands, disturbed ground.", grey wet sand springfed wetlands disturbed ground ,,,,,,,wet,wet,,,disturbed,disturbed,grey,grey,,,sand,sand,,
Mirbelia cordifolia,shallow sand. flats., shallow sand flats ,,,,,,,,,flats,flats,,,,,,,sand,sand,,
Mirbelia bursarioides,"light red-brown gravelly sand, laterite, granite. rock outcrops, sand plains, breakaways.", light redbrown gravelly sand laterite granite rock outcrops sand plainss breakaways ,,,,,,,,,breakaways rocky_outcrop plains,breakaways outcrops plainss,plains,plains,,,granitic lateritic,granite laterite,gravel sand,gravelly sand,,
Ectrosia lasioclada,"clay, sandstone. valley.", clay sandstone valley ,,,,,,,,,valley,valley,,,,,sandstone,sandstone,clay sand,clay sands,,
Melaleuca manglesii,white sand., white sand ,,,,,,,,,,,,,white,white,,,sand,sand,,
Melaleuca lara,"yellow sand, sandstone. sloping sandplains.", yellow sand sandstone sloping sandplainss ,,,,,,,,,,,sandplain,sandplains,yellow,yellow,sandstone,sandstone,sand,sand,,
Eucalyptus kochii subsp. amaryssia,"red sandy or clayey loam, pebbles, laterite, ironstone. plains, slight rises, base of dunes and ranges.", redsandy or clayey loam pebbles laterite ironstone plainss slight rises base of dunes and ranges ,,,,,,,,,plains,plainss,sanddunes plains,dunes plains,red,reds,iron lateritic,irons laterite,clay loam,clayey loam,,
Melaleuca keigheryi,"red sand or sandy clay, orange-brown siliceous sand. flats, slopes, near road.", redsand or sandyclay orangebrown siliceous sand flats slopes near road ,,,,,,,,,flats slopes,flats slopes,,,red,reds,siliceous,siliceous,sand_red sand clay_sandy,redsand sand sandyclay,,
Tephrosia rosea var. rosea,"light brown-white sand, red clay, alluvium over clay, limestone, granite. coastal dunes and tracks, rock outcrops, near creeks, roadsides.", lightbrownwhite sand redclay alluvium over clay limestone granite coastaldunes and tracks rock outcrops nearcreeks roadsidess ,,,,,,,,,rocky_outcrop,outcrops,sanddunes_coastal dunes_coastal streambanks roadside,coastaldunes coastaldunes nearcreeks roadsidess,,,alluvial granitic limestone,alluvium granite limestone,clay_red clay sand,redclay clay sand,,
Tephrosia rosea var. venulosa,red sand. near creek., redsand nearcreek ,,,,,,,,,,,streambanks,nearcreek,red,reds,,,sand_red,redsand,,
Tephrosia rosea var. clementii,"red-yellow sand, pebbly loam. near watercourses, rocky slopes, gravel pit, dunes.", redyellow sand pebbly loam near watercourses rockyslopes gravel pit dunes ,,,,,,,,,slopes_rocky watercourses,rockyslopes watercourses,streambanks sanddunes streams,watercourses dunes watercourses,,,,,gravel loam soil_rocky sand,gravel loam rockys sand,,
Grevillea nematophylla subsp. nematophylla,"sand. along drainage lines, near soaks.", sand along drainage lines near soaks ,,,,,,,,,,,,,,,,,sand,sand,,
Grevillea nematophylla subsp. supraplana,sand., sand ,,,,,,,,,,,,,,,,,sand,sand,,
Grevillea nematophylla subsp. planicosta,,,,,,,,,,,,,,,,,,,,,,
Indigofera kingiana,"sand, stony soils, granite. rocky plains, hardpans, near creek.", sand stonysoils granite rocky plainss hardpans nearcreek ,,,,,,,,,plains,plainss,streambanks plains,nearcreek plains,,,granitic,granite,soil_rocky hardpan sand stony,stonysoils hardpans rocky sand stonys,,
Indigofera chamaeclada,"brown sandy clay, red sandy loam, granite. sandplains, hardpans, disturbed areas.", brown sandyclay redsandy loam granite sandplainss hardpans disturbed areas ,,,,,,,,,,,disturbed sandplain,disturbed sandplains,brown red,brown reds,granitic,granite,hardpan loam clay_sandy,hardpans loam sandyclay,,
Indigofera cuspidata,near narrow creek., near narrow creek ,,,,,,,,,,,streams,creek,,,,,,,,
Grevillea cravenii,"sandy loam, sandstone. level sites near ridges.", sandy loam sandstone level sites near ridges ,,,,,,,,,ridges,ridges,,,,,sandstone,sandstone,loam sand,loam sands sandy,,
Grevillea stenogyne,,,,,,,,,,,,,,,,,,,,,,
Grevillea maherae,"sandy loam, sandstone. rock outcrops, ridges.", sandy loam sandstone rock outcrops ridges ,,,,,,,,,rocky_outcrop ridges,outcrops ridges,,,,,sandstone,sandstone,loam sand,loam sands sandy,,
Eucalyptus obtusiflora subsp. obtusiflora,sand. interdunal hollows., sand interdunal hollows ,,,,,,,,,,,,,,,,,sand,sand,,
Eremophila glabra subsp. verrucosa,,,,,,,,,,,,,,,,,,,,,,
Petrophile antecedens,"dry white sand, dry brown gravel, laterite. slopes and flats.", dry white sand dry brown gravel laterite slopes and flats ,,,,,,,dry,dry,flats slopes,flats slopes,,,brown white,brown white,lateritic,laterite,gravel sand,gravel sand,,
Cressa australis,"saline cracking clay-clay loam, saline grey clay, drying mud. salt lake margins, clay or mud flats, near seasonal billabongs, lakes & lagoons.", saline cracking clayclay loam saline grey clay drying mud salt lakemargins clay or mud flats near seasonal billabongs lakes  lagoons ,,,,,,,damp,mud,flats,flats,lake_margin lagoons lakes mud,lakemargins lagoons lakes mud,grey,grey,saline,saline salt,clay loam,clay loam,,
Grevillea decurrens,"sand, gravel.", sand gravel ,,,,,,,,,,,,,,,,,gravel sand,gravel sand,,
Grevillea florida,"sand, sandy clay, gravel, laterite. sandplain, slopes, road verges.", sand sandyclay gravel laterite sandplains slopes road verges ,,,,,,,,,slopes,slopes,sandplain,sandplains,,,lateritic,laterite,gravel sand clay_sandy,gravel sand sandyclay,,
Acacia catenulata,shallow soils. scarps of weathered sediments., shallowsoils scarps of weathered sediments ,,,,,,,,,,,,,,,,,soil_shallow,shallowsoils,,
Eucalyptus obtusiflora subsp. cowcowensis,sandy white loam., sandy white loam ,,,,,,,,,,,,,white,white,,,loam sand,loam sandy,,
Olearia trifurcata,"sub-saline, sandy loam. margins of salt lakes.", subsaline sandy loam margins of saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,subsaline,subsaline,loam sand,loam sandy,,
Monotaxis bracteata,"deep sandy soils, sandy to sandy loams, laterite gravel, granite soils. sandplains, low undulating country, slopes.", deep sandy soils sandy to sandy loams laterite gravel granite soils sandplainss low undulating country slopes ,,,,,,,,,slopes undulating,slopes undulating,sandplain,sandplains,,,granitic lateritic,granite laterite,gravel loam sand,gravel loams sandy,,
Monotaxis grandiflora var. grandiflora,white sand over clay., white sand over clay ,,,,,,,,,,,,,white,white,,,clay sand,clay sand,,
Sauropus ramosissimus,,,,,,,,,,,,,,,,,,,,,,
Monotaxis grandiflora var. obtusifolia,"well drained deep sand, yellow sand, gravel. sandplains, gently undulating country.", well drained deep sand yellow sand gravel sandplainss gently undulating country ,,,,,,,,,undulating,undulating,sandplain,sandplains,yellow,yellow,,,gravel sand,gravel sand,,
Austrostipa nodosa,littered soils. railway line., littered soils railway line ,,,,,,,,,,,,,,,,,,,,
Abutilon dioicum,"rocky, sandy loam, pebbles, laterite, ironstone, granite, calcrete. scree slopes, edges of cliffs, creek beds, along river banks, wash areas.", rocky sandy loam pebbles laterite ironstone granite calcrete scree slopes edges of cliffs creek beds along riverbanks wash areas ,,,,,,,,,cliff rocky slopes,cliffs scree slopes,streambanks streams rocky cliffs,riverbanks creek riverbanks scree cliffs cliffs,,,calcrete granitic iron lateritic,calcrete granite irons laterite,loam soil_rocky sand,loam rocky sandy,,
Iotasperma sessilifolium,"cracking clay, black loam. edges of waterholes, plains.", cracking clay black loam edges of waterholes plainss ,,,,,,,,,plains,plainss,plains waterholes,plains waterholes,black,black,,,clay loam,clay loam,,
Eriocaulon odontospermum,"sand, red clay, mud, sandstone, limestone, granite. gorges, rocky areas, margins of pools and creeks, sometimes in shallow water.", sand redclay mud sandstone limestone granite gorges rocky areas margins of pools and creeks sometimes in shallowwater ,,,,,,,damp,mud,gorges,gorges,water_shallow streams mud,shallowwater creeks mud,,,granitic limestone sandstone,granite limestone sandstone,clay_red soil_rocky sand,redclay rocky sand,,
Eriocaulon patericola,sandstone pavement., sandstone pavement ,,,,,,,,,,,,,,,sandstone,sandstone,pavement sand,pavement sands,,
Eriocaulon scullionii,"sand, sandstone. sheltered among rocks, creek margins, seepage areas, sometimes in shallow water.", sand sandstone sheltered among rocks creek margins seepage areas sometimes in shallowwater ,,,,,,,wet,seepage,flats seepages,seepage seepage,water_shallow streams,shallowwater creek,,,sandstone,sandstone,sand,sand,,
Guichenotia basivirida,yellow or red sand. sandplains., yellow or redsand sandplainss ,,,,,,,,,,,sandplain,sandplains,red yellow,reds yellow,,,sand_red,redsand,,
Hypocalymma sylvestre,yellow-brown sandy loam. woodland on lateritic hilltop., yellowbrown sandy loam woodland on lateritic hilltop ,,,,,,,,,,,woodland,woodland,,,lateritic,lateritic,loam sand,loam sandy,,
Eryngium ferox,"grey to brown loamy to sandy clay, brown cracking clay. winter-wet flats, swamps, dried claypans, ridges.", grey to brown loamy to sandyclay brown cracking clay winterwetflats swamps dried claypans ridges ,,,,,,,wet,swamps,flats inundated_intermittent ridges,winterwetflats ridges,claypan swamp,claypans swamps,brown grey,brown grey,,,claypan clay loam clay_sandy,claypans clay claypans loamy sandyclay,,
Hypocalymma cordifolium subsp. cordifolium,"sandy or gravelly loam, sandy clay, black peaty sand, granite, laterite. along watercourses, seasonally wet sites.", sandy or gravelly loam sandyclay black peaty sand granite laterite along watercourses seasonally wet sites ,,,,,,,wet,wet,watercourses,watercourses,streambanks streams,watercourses watercourses,black,black,granitic lateritic,granite laterite,gravel loam peat sand clay_sandy,gravelly loam peaty sand sandy sandyclay,,
Hypocalymma cordifolium subsp. minus,"peaty sand, grey sand. damp sites, swamps.", peaty sand grey sand damp sites swamps ,,,,,,,wet damp,swamps damp,,,swamp,swamps,grey,grey,,,peat sand,peaty sand,,
Melaleuca wonganensis,"white sand, white-grey clayey sand. flats.", white sand whitegrey clayey sand flats ,,,,,,,,,flats,flats,,,white,white,,,clay sand,clayey sand,,
Melaleuca similis,grey sand. margins of saline drainage lines., grey sand margins of saline drainage lines ,,,,,,,,,,,,,grey,grey,saline,saline,sand,sand,,
Melaleuca plumea,"grey-white sand, orange sand, clay. flats, dune slopes, margins of salt lakes, river flats.", greywhite sand orange sand clay flats dune slopes margins of saltlakes riverflats ,,,,,,,,,flats slopes,riverflats flats slopes,lakes_salt sanddunes,saltlakes dune,orange,orange,,,clay sand,clay sand,,
Melaleuca venusta,,,,,,,,,,,,,,,,,,,,,,
Melaleuca zonalis,"grey sandy gravel, laterite. outcrops, valleys, hills.", grey sandy gravel laterite outcrops valleys hills ,,,,,,,,,hills rocky_outcrop valley,hills outcrops valleys,,,grey,grey,lateritic,laterite,gravel sand,gravel sandy,,
Eutaxia lutea,"white clayey sand over limestone, brown loamy sand. flats, roadsides.", white clayey sand over limestone brown loamysand flats roadsidess ,,,,,,,,,flats,flats,roadside,roadsidess,brown white,brown white,limestone,limestone,sand_loamy clay loam sand,loamysand clayey loamys sand,,
