Scientific Name,Native,Susceptibility,Observation,References,original_source,Synonyms,accepted_name,reason,taxon_rank,accepted_or_suggested_name,notes
Syzygium floribundum,Y,R-H,I,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014; Pegg Mt Cootha 2016,Morin_2012; Sandhu_2013; Pegg_2014; Pegg_2016,Waterhousea floribunda,Syzygium floribundum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium floribundum,
Syzygium forte,Y,M,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Syzygium forte,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium forte,
Syzygium forte forte,Y,M,N,Workshop 2016,Workshop 2016,NA,Syzygium forte subsp. forte,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Syzygium forte subsp. forte,
Syzygium forte potamophilum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium forte subsp. potamophilum,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Syzygium forte subsp. potamophilum,
Syzygium francisii,Y,M-H,I,Morin et al. 2012,Morin_2012,NA,Syzygium francisii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium francisii,
Syzygium fullagarii,Y,S*,I,Giblin and Carnegie 2014; Pegg et al. 2014; Pegg Mt Cootha 2016,Giblin_2014; Pegg_2014; Pegg_2016,NA,Syzygium fullagarii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium fullagarii,
Syzygium glenum,Y,S*,N,Giblin and Carnegie 2014; Pegg Mt Cootha 2016,Giblin_2014; Pegg_2016,NA,Syzygium glenum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium glenum,
Syzygium graveolens,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium graveolens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium graveolens,
Syzygium hedraiophyllum,Y,R-M,N,Pegg et al. 2014,Pegg_2014,Waterhousea hedraiophylla,Syzygium hedraiophyllum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium hedraiophyllum,
Syzygium hemilamprum,Y,M,N,Pegg et al. 2014,Pegg_2014,Acmena hemilampra,Syzygium hemilamprum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium hemilamprum,
Syzygium hodgkinsoniae,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium hodgkinsoniae,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium hodgkinsoniae,
Syzygium ingens,Y,M,N,Pegg et al. 2014,Pegg_2014,Acmena ingens,Syzygium ingens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium ingens,
Syzygium jambos,N,R-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Syzygium jambos,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium jambos,
Syzygium johnsonii,N,M,N,"Pegg, unpublished data","Pegg, unpublished data",Syzygium johnsonni,Syzygium johnsonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium johnsonii,
Syzygium kuranda,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium kuranda,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium kuranda,
Syzygium luehmannii,Y,R-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Syzygium luehmannii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium luehmannii,
Syzygium macilwraithianum,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2012,Pegg_2014; Pegg Mt Cootha 2012,NA,Syzygium macilwraithianum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium macilwraithianum,
Syzygium mackinnonianum,Y,M,NI,"Pegg, unpublished data","Pegg, unpublished data",Acmena mackinnoniana,Syzygium mackinnonianum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium mackinnonianum,
Syzygium malaccense,Y,R,I,Sandhu and Park 2013,Sandhu_2013,NA,Syzygium malaccense,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium malaccense,
Syzygium maraca,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium maraca,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium maraca,
Syzygium megacarpum,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium megacarpum,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Syzygium sp. [Syzygium megacarpum],exclude-Pacific Islands
Syzygium minutiflorum,N,M,N,Pegg et al. 2014; Pegg Mt Cootha 2012,Pegg_2014; Pegg Mt Cootha 2012,NA,Syzygium minutuliflorum,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium minutuliflorum,
Syzygium monimioides,Y,R,N,"Sandhu and Park 2013; Pegg, unpublished data","Sandhu_2013; Pegg, unpublished data",NA,Syzygium monimioides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium monimioides,
Syzygium moorei,Y,R-M,N,Pegg et al. 2014; Pegg Mt Cootha 2012,Pegg_2014; Pegg Mt Cootha 2012,NA,Syzygium moorei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium moorei,
Syzygium mulgraveanum,Y,M,NI,Giblin and Carnegie 2014; Pegg et al. 2014; Pegg Mt Cootha 2016,Giblin_2014; Pegg_2014; Pegg_2016,Waterhousea mulgraveana,Syzygium mulgraveanum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium mulgraveanum,
Syzygium nervosum,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2012; Workshop 2016,Pegg_2014; Pegg Mt Cootha 2012; Workshop 2016,NA,Syzygium nervosum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium nervosum,
Syzygium oleosum,Y,R-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Syzygium oleosum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium oleosum,
Syzygium paniculatum,Y,R-M,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Syzygium paniculatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium paniculatum,
Syzygium polyanthum,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium polyanthum,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Syzygium sp. [Syzygium polyanthum],exclude-Pacific Islands
Syzygium pseudofastigiatum,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2012,Pegg_2014; Pegg Mt Cootha 2012,NA,Syzygium pseudofastigiatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium pseudofastigiatum,
Syzygium puberulum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium puberulum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium puberulum,
Syzygium resa,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium resa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium resa,
Syzygium rubrimolle,Y,M,N,Sandhu and Park 2013; Giblin and Carnegie 2014; Pegg et al. 2014; Pegg Mt Cootha 2016,Sandhu_2013; Giblin_2014; Pegg_2014; Pegg_2016,NA,Syzygium rubrimolle,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium rubrimolle,
Syzygium sayeri,Y,R,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Syzygium sayeri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium sayeri,
Syzygium smithii,Y,M-H,NI,Pegg et al. 2014,Pegg_2014,Acmena smithii,Syzygium smithii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium smithii,
Syzygium suborbiculare,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Syzygium suborbiculare,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium suborbiculare,
Syzygium tierneyanum,Y,M,N,Morin et al. 2012; Pegg et al. 2014; Pegg Mt Cootha 2016,Morin_2012; Pegg_2014; Pegg_2016,NA,Syzygium tierneyanum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium tierneyanum,
Syzygium trachyphloium,Y,R,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Syzygium trachyphloium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium trachyphloium,
Syzygium unipunctatum,Y,R-M,NI,Pegg et al. 2014,Pegg_2014,Waterhousea unipunctata,Syzygium unipunctatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium unipunctatum,
Syzygium velarum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Syzygium velarum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium velarum,
Syzygium wesa,Y,S*,N,NSW BioAtlas: Myrtle Rust Records,NSW BioAtlas: Myrtle Rust Records,NA,Syzygium wesa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium wesa,
Syzygium wilsonii,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium wilsonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium wilsonii,
Syzygium wilsonii x luehmannii,H,M,NI,"Pegg, unpublished data","Pegg, unpublished data",NA,Syzygium wilsonii x luehmannii,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Syzygium x [Syzygium wilsonii x luehmannii],add substitution
Syzygium xerampelinum,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Syzygium xerampelinum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Syzygium xerampelinum,
Thaleropia queenslandica,Y,M,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Thaleropia queenslandica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Thaleropia queenslandica,
Thryptomene calycina,Y,H,I,Morin et al. 2012,Morin_2012,NA,Thryptomene calycina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Thryptomene calycina,
Thryptomene saxicola,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Thryptomene saxicola,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Thryptomene saxicola,
Tristania neriifolia,Y,M-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Tristania neriifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Tristania neriifolia,
Tristaniopsis collina,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Tristaniopsis collina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Tristaniopsis collina,
Tristaniopsis exiliflora,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Tristaniopsis exiliflora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Tristaniopsis exiliflora,
Tristaniopsis laurina,Y,R-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Morin_2012; Sandhu_2013; Pegg_2014; Pegg_2016; Workshop 2016,NA,Tristaniopsis laurina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Tristaniopsis laurina,
Ugni molinae,N,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Ugni molinae,NA,NA,Ugni molinae,exclude
Uromyrtus australis,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Uromyrtus australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Uromyrtus australis,
Uromyrtus lamingtonensis,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Uromyrtus lamingtonensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Uromyrtus lamingtonensis,
Uromyrtus metrosideros,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Uromyrtus metrosideros,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Uromyrtus metrosideros,
Uromyrtus tenella,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Uromyrtus tenella,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Uromyrtus tenella,
Verticordia chrysantha,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Verticordia chrysantha,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Verticordia chrysantha,
Verticordia plumosa,Y,H,I,Morin et al. 2012,Morin_2012,NA,Verticordia plumosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Verticordia plumosa,
Xanthostemon chrysanthus,Y,L-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Xanthostemon chrysanthus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon chrysanthus,
Xanthostemon crenulatus,Y,R,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Xanthostemon crenulatus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon crenulatus,
Xanthostemon formosus,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Xanthostemon formosus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon formosus,
Xanthostemon fruticosus,N,S*,N,Pegg 2016,Pegg 2016,NA,Xanthostemon fruticosus,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Xanthostemon sp. [Xanthostemon fruticosus],exclude-Philippines
Xanthostemon graniticus,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Xanthostemon graniticus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon graniticus,
Xanthostemon oppositifolius,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Xanthostemon oppositifolius,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon oppositifolius,
Xanthostemon youngii,Y,M,I,Pegg et al. 2014,Pegg_2014,NA,Xanthostemon youngii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Xanthostemon youngii,
