taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Prasophyllum milfordense, grows in openwoodland dominated by white gum Eucalyptus viminalis with a dense ground cover of sagg Lomandra longifolia Soils are welldrained grey sandy loams eucalyptwoodland ,,,,,,,,,,,woodland_eucalypt woodland_open,eucalyptwoodland openwoodland openwoodland,grey white,grey white,,,loam sand,loams sandy,draining,welldrained welldrained
Prasophyllum morganii, openforest at about 1000 m above sea level Backhouse  Jeanes 1995 It was found on the sunny side of a small ridge running down to a creek where the soil was clayey with a little quartz and sandstone Nicholls 1930 in Coates et al 2002 ,,,,,,,,,ridges,ridge,forest_open streams,openforest creek,,,sandstone,sandstone,clay sand,clayey sands,,
Prasophyllum olidum, grows in relatively damp conditions on sandy loam ,,,,,,,moist,damp,,,,,,,,,loam sand,loam sandy,,
Prasophyllum perangustum, found growing in openforest and heathy woodland on welldrained sandy loam ,,,,,,,,,,,forest_open woodland,openforest woodland,,,,,loam sand,loam sandy,draining,welldrained welldrained
Prasophyllum pulchellum, grows in low heath ,,,,,,,,,,,heath,heath,,,,,,,,
Prasophyllum robustum, occurs in grassy and shrubby Eucalyptus amygdalina forest on welldrained brown loam derived from basalt TSU 2000 ,,,,,,,,,,,forest,forest,brown,brown,basaltic,basalt,loam,loam,draining,welldrained welldrained
Prasophyllum secutum, grows among shrubs in windswept dense low heathland in drained dark grey to black sandy peaty loam at altitudes from 1030 m above sea level Jones 1998 Jones et al 1999 ,,,,,,,,,,,heath shrubland,heathland shrubs,black grey,black grey,,,loam peat sand,loam peaty sandy,,
Prasophyllum stellatum, occurs in forest dominated by Eucalyptus delegatensis with E dalrympleana as a minor canopy component and a shrubby to grassy understorey in areas with a relatively high surface rock cover with deep clayloam soils on Jurassic dolerite eucalyptforest ,,,,,,,,,,,forest_eucalyptus forest,eucalyptforest forest,,,dolerite,dolerite,loam_clayey,clayloam,,
Prasophyllum tunbridgense, grows in native grassland on welldrained loams derived from basalt TSS 2010 ,,,,,,,,,,,grassland,grassland,,,basaltic,basalt,loam,loams,draining,welldrained welldrained
Pterostylis sp. Botany Bay (A.Bishop J221/1-13), found on moist flat sites on sandy soils derived from sandstone It is found in association with vegetation communities such as coastalheath ,,,,,,,moist,moist,flats,flat,heath_coastal,coastalheath,,,sandstone,sandstone,sand,sands sandy,,
Solanum graniticum, occurs in eucalyptwoodland on hillsides in shallowsoils derived from granite and granodiorite ,,,,,,,,,hills,hills hillsides,woodland_eucalypt,eucalyptwoodland,,,granitic,granite,soil_shallow,shallowsoils,,
Solanum orgadophilum, grows in fertile crackingclaysoils on flat to undulating terrain in grasslands or open eucalyptwoodlands Bean 2010 ,,,,,,,,,flats undulating,flat undulating,woodland_eucalypt grassland,eucalyptwoodlands grasslands,,,,,clay_cracking fertile,crackingclaysoils crackingclays fertile,,
Sporobolus pamelae, permanent wetlands created by Great Artesian Basin GAB discharge springs grows in shallowwater and in adjacent moist substrate spring complexes ,,,,,,,moist,moist,,,water_shallow,shallowwater,,,,,,,,
Spyridium fontis-woodii, understorey shrub in Eucalyptus diversifolia subsp diversifolia Coastal White Mallee mallee over a diverse understorey on sandy loam over calcrete ,,,,,,,,,,,mallee,mallee,,,calcrete,calcrete,loam sand,loam sandy,,
Synaphea quartzitica, occurs on the slopes of chert hills in open heath ,,,,,,,,,hills slopes,hills slopes,heath,heath,,,,,,,,
Tectaria devexa, recorded from limestone caves    grows clonally mainly on the plateau in primary rainforest tall and largely undisturbed above 80 m elevation both in deeper soils and as a lithophyte on mossy pinnacles at the base of a slope a wet site Holmes  Holmes 2002 ,,,,,,,wet,wet,plateaus slopes,plateau slope,rainforest,rainforest rainforest,,,limestone,limestone,,,,
Tetratheca gunnii, mainly occurs in heathy Eucalyptus amgydalina black peppermint drysclerophyllforest and woodland with occasional Eucalyptus ovata swamp gum Brown et al 1986 Leigh  Briggs 1992 Potts  Barker 1999 and also in shrubby Eucalyptus amgydalinaEucalyptus obliqua forest Johnson  Barker 1998 In heathy Eucalyptus amygdalinadominated communities a shrubby midstorey of Allocasuarina littoralis black sheoak and Banksia marginata silver banksia occur sparsely over a dense heathy understorey dominated by Lomandra longifolia spinyheaded matrush Correa reflexa native fuchsia Hibbertia riparia stream guineaflower Euryomyrtus ramosissima rosy baeckea Gahnia spp sedges and grasses see Potts  Barker 1999 There are some exceptions to these vegetation associations for example the Barnes Hill population occurs in Allocasuarina littoralisdominated woodland largely devoid of an understorey Potts  Barker 1999 associated with serpentine geology ,,,,,,,wet dry,swamp drys,,,forest_dry_sclerophyll streams swamp forest woodland,drysclerophyllforest stream swamp forest woodland,black,black,,,,,,
Thomasia sp. Green Hill (S.Paust 1322), occur is a bushblock consisting entirely remnant openwoodlanddominatedbyEucalyptus wandoo wandoo on brown sandyclayloam over laterite CALM 2003 DEC 2011  thickets are associated with freshwater seeps in the abovementioned lateritic landscape DEC 2011 ,,,,,,,,,,,thickets woodland_wandoo,thickets wandoo,brown,brown,lateritic,laterite lateritic,,,,
Trichanthodium baracchianum, located on the periphery of saline flats and depressions on the fringes of saltlakes in samphire vegetation communities ,,,,,,,,,depressions flats,depressions flats,lakes_salt,saltlakes,,,saline,saline,,,,
Verticordia staminosa var. cylindracea, grows in seasonally wet shallowsoil pockets in crevices and on edges of exposed granite outcrops Patten et al 2004 ,,,,,,,wet,wet,rocky_outcrop,outcrops,crevices outcrop,crevices outcrops,,,granitic,granite,soil_shallow,shallowsoil,,
Commersonia erythrogyna, single wild population is found on a lateritic ridge supporting open low jarrah Eucalyptus marginata and marri Corymbia calophylla woodland with the two mature plants growing in small fissures in the rock eucalyptwoodland ,,,,,,,,,ridges,ridge,woodland_eucalypt woodland,eucalyptwoodland woodland,,,lateritic,lateritic,,,,
Conospermum densiflorum subsp. unicephalatum, restricted to lowlying sandyclay soils with surface lateritic gravel  gravel or clay soils that support heathland ,,,,,,,,,depressions,lowlying,heath,heathland,,,lateritic,lateritic,clay clay_sandy gravel,clay sandyclay gravel,,
Croton mamillatus, grows as an understorey shrub in remnants of dry microphyll or notophyll vineforest on red rockysoils derived from chert often on hillsides near rainforestmargins ,,,,,,,dry,dry,hills,hills hillsides,rainforest_margin vine_thicket rocky,rainforestmargins vineforest rockys,red,red,,,soil_rocky,rockysoils rockys,,
Darwinia whicherensis, occurs in a winterwet area of shrubland on shallow redclay over ironstone under a tall shrubland of Dryandra squarrosa Keighery 2009 ,,,,,,,winterwet,winterwet winterwet,,,shrubland,shrubland,,,iron ironstone,irons ironstone,clay_red,redclay,,
Daviesia bursarioides, occurs in open shrub mallee habitat dominated by Eucalyptus gittinsii and Allocasuarina campestris with a range of Acacia Banksia Hakea and Grevillea species Stack et al 2004 Soils are shallow brown sandy loams with extensive lateritic gravel Stack et al 2004 dense thicket on deep lateritic gravel Stack et al 2004 ,,,,,,,,,,,mallee thickets,mallee thicket,brown,brown,lateritic,lateritic,gravel loam sand,gravel loams sandy,,
Denhamia megacarpa, sandy or gravelly soils that support open eucalyptwoodland Regional Ecosystem 1159b or Acacia forests dominated by Acacia shirleyi Lancewood and A catenulata Bendee Regional Ecosystem 1172 ,,,,,,,,,,,woodland_eucalypt forest,eucalyptwoodland forests,,,,,gravel sand,gravelly sandy,,
Drummondita ericoides, restricted to the sandstone and laterite slopes of Moresby Range north of Geraldton over a linear range of 20 km Stack et al 2004  grows in low heathland on sandstone and laterite slopes ridges and gullies of the Moresby Range in brown loam or sandy loam and clay soils Stack et al 2004 ,,,,,,,,,gullies ridges slopes,gullies ridges slopes,heath,heathland,brown,brown,lateritic sandstone,laterite sandstone,clay loam sand,clay loam sands sandy,,
Epacris stuartii, occur in shallowsoil or in crevices in dolerite rock pavements Keith and Ilowski 1999 and also on seaward facing cliffs Keith 1996 ,,,,,,,,,cliff,cliffs,crevices cliffs,crevices cliffs cliffs,,,dolerite,dolerite,soil_shallow pavement,shallowsoil pavements,,
Eremophila denticulata subsp. trisulcata, grows on powdery grey loams over limestone in tall Eucalyptus woodland with Melaleuca quadrifaria limestone honeymyrtle and M sheathiana boree CALM 2004 It is only known from disturbed sites such as on road verges and firebreaks ,,,,,,,,,,,disturbed woodland,disturbed woodland,grey,grey,limestone,limestone,loam,loams,,
Eremophila pinnatifida, grows in red or brown clay loam in tall openwoodland and shrubland ,,,,,,,,,,,woodland_open shrubland,openwoodland shrubland openwoodland,brown red,brown red,,,clay loam,clay loam,,
Eremophila verticillata, Habitat is powdery brown loam over dolomite in open low Eucalypt woodland ,,,,,,,,,,,woodland,woodland,brown,brown,,,loam,loam,,
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367), locallycommon in woodland habitat on the western side of Cape York Peninsula CYP in Queensland ,,,,,common_locally,locallycommon,,,,,woodland,woodland,,,,,,,,
Eucalyptus broviniensis, grows in sandy soils on flats near escarpments and plateaus amongst heathy vegetation occurs in grey loams on flaterrain in mixed openwoodland eucalypt ,,,,,,,,,escarpment flats plateaus,escarpments flats plateaus,flats woodland_open escarpment,flaterrain openwoodland escarpments openwoodland,grey,grey,,,loam sand,loams sandy,,
Eucalyptus crucis subsp. praecipua, currently known from a single granite rock west of Paynes Find ,,,,,,,,,,,,,,,granitic,granite,,,,
Eucalyptus cuprea, Mallee box grows on rises in brown sandy loam with sandstone or sometimes with granite and in redbrown clayey loam with laterite Patrick 2001 It has also been recorded from a clay flat Patrick 2001 Mallee box grows emergent above low heath with other emergents including Nuytsia floribunda Western Australian Christmas tree and heath species including Melaleuca megacephala hillock bush and M scabra rough honeymyrtle or in tall shrubland with E loxophleba York gum Acacia acuminata raspberry jam Dodonaea inaequifolia and Allocasuarina spp Patrick 2001 ,,,,,,,,,flats swales,flat rises,heath shrubland,heath shrubland,brown,brown,granitic lateritic sandstone,granite laterite sandstone,clay loam sand,clay clayey loam sands sandy,,
Eucalyptus dalveenica, occurs in woodland on clay soils with impededdrainage ,,,,,,,,,,,woodland,woodland,,,,,clay,clay,drainage_impeded,impededdrainage
Eucalyptus dolorosa, confined to lateritic breakaway slopes and a summit in malleeheath over low scrub amongst massive ironstone blocks ,,,,,,,,,breakaways slopes,breakaway slopes,mallee_heath rocky scrubland,malleeheath breakaway scrub,,,iron ironstone lateritic,irons ironstone lateritic,,,,
Eucalyptus x impensa, inhabits very open shrub mallee over low heath on grey gravelly sand on undulating plainss and low breakaway slopes Brown et al 1998 ,,,,,,,,,breakaways plains slopes undulating,breakaway plainss slopes undulating,heath mallee plains rocky,heath mallee plains breakaway,grey,grey,,,gravel sand,gravelly sand,,
Eucalyptus leprophloia, range of habitats including the slopes of hills in brown loam over laterite  in white sand on gentle valley slopes in low Eucalyptus accedens powderbarked wandoowoodland over heath on grey sand and laterite with Eucalyptus todtiana coastal blackbutt in grey sandyclay loam on the slopes of a drainageline between two breakaways and in grey sand and lateritic gravel with Corymbia calophylla marri and Eucalyptus wandoo wandoo over open low scrub Brown et al1998 ,,,,,,,,,drainages breakaways coastal hills slopes valley,drainageline breakaways coastal hills slopes valley,woodland_wandoo heath rocky scrubland,wandoowoodland heath breakaways scrub wandoo,brown grey white,brown grey white,lateritic,laterite lateritic,clay_sandy gravel loam sand,sandyclay gravel loam sand,,
Eucalyptus nudicaulis, grows in skeletal granite soils amongst openeucalyptwoodland of E leucophloia and Corymbia capricornia on exposed quartzite rocky gullies and steep hillsides between 400520 m above sea level Bean 1991 ,,,,,,,,,gullies hills,gullies hills hillsides,rocky,rocky,,,granitic quartzite,granite quartzite,skeletal soil_rocky,skeletal rocky,,
Gentiana baeuerlenii, occurs in the intertussock space of moist tussockgrassland and sedgeland associated with ground water possibly springfed The area is probably a relict grassland opening once surrounded by openwoodland ,,,,,,,moist wet,moist water,,,grassland_tussock woodland_open grassland,tussockgrassland openwoodland grassland tussockgrassland openwoodland,,,,,,,,
Goodenia integerrima, gypsumrich soil that is unique to the single saltlake in which it was discovered ,,,,,,,,,,,,,,,,,,,,
Grevillea humifusa, Grows in brown gravelly loam in or near woodland ,,,,,,,,,,,woodland,woodland,brown,brown,,,gravel loam,gravelly loam,,
Grevillea kennedyana, found on rockysites typically the colluvial slopesofmesas and jumpups and occasionally in dry rocky watercourses Figure 4 These habitats consist of the weathered moderately coarse fragments of silcrete duricrust overlying brown loamy lithosols Geological Survey of New South Wales 1967 ,,,,,,,dry,dry,slopes rocky watercourses,slopesofmesas rockysites slopes watercourses,streambanks streams rocky,watercourses watercourses rockys,brown,brown,,,soil_rocky loam,rockysites loamy rockys,,
Hakea pulvinifera, on a steep west facing slope that ranges from 3050 degrees ,,,,,,,,,slopes,slope,,,,,,,,,,
Hibbertia carinata, known only from ridges ,,,,,,,,,ridges,ridges,,,,,,,,,,
Hibbertia humifusa subsp. debilis, grows on wetheathland Toelken 1995 ,,,,,,,,,,,,,,,,,,,,
Irenepharsus trypherus, typically occupies steep rockyslopes near cliff lines and ridge tops NSW DEC 2005 that extend south and east of the Illawara escarpment OEH 2014 It is less typically found growing out of rock crevices or on narrow benches along cliff lines OEH 2014 The species has also been recorded from the deep sandstone gorges of the Shoalhaven River OEH 2014 Vegetation associated with the species includes moistsclerophyllforest Backhousia myrtifolia ironwood thicket and rainforest OEH 2014 ,,,,,,,moist,moists,slopes_rocky cliff escarpment gorges ridges,rockyslopes cliff escarpment gorges ridge,forest_moist_sclerophyll rainforest crevices escarpment thickets cliffs rocky,moistsclerophyllforest rainforest crevices escarpment rainforest thicket cliff rockys,,,sandstone,sandstone,sand soil_rocky,sands rockys,,
Jacksonia pungens, grows from a soilstored seedbank on yellow to brown sand or gravelly lateritic soil with quartzite over chert The associated vegetation is characterised by tall shrubland of Allocasuarina campestris shrubby sheoak and Actinostrobus sp cypress pines Chappill 1998 ,,,,,,,,,,,shrubland,shrubland,brown yellow,brown yellow,lateritic quartzite,lateritic quartzite,gravel sand,gravelly sand,,
Lambertia echinata subsp. occidentalis, ccurs in winterwet shrubland over shallow sands over  ironstone ,,,,,,,winterwet,winterwet winterwet,,,shrubland,shrubland,,,iron ironstone,irons ironstone,sand,sands,,
Lasiopetalum pterocarpum, ironstone ,,,,,,,,,,,,,,,iron ironstone,irons ironstone,,,,
Leionema lachnaeoides, occur on exposed sandstone clifftops and terraces at 960  1000m altitude with aspects from southeast to southwest Habitat is montane heath ,,,,,,,,,terraces,terraces,clifftops escarpment heath montane,clifftops clifftops heath montane,,,sandstone,sandstone,sand,sands,,
Leionema lamprophyllum subsp. fractum, found on a rocky cliff line at 515 m asl elevation in sparse heathland to open eucalyptwoodland Bell and Walsh 2015 ,,,,,,,,,cliff,cliff,woodland_eucalypt heath cliffs rocky,eucalyptwoodland heathland cliff rocky,,,,,soil_rocky,rocky,,
Livistona mariae subsp. mariae, gorge floors that are continuously fed by bicarbonate rich spring waters ,,,,,,,wet,waters,,,,,,,,,,,,
Lomatia tasmanica, occurs in implicate scrub short tangled vegetation and mixed forest containing eucalypts and rainforest species in one extant site in two deeply incised creeks separated by a ridge TSS 2016 ,,,,,,,,,ridges,ridge,rainforest scrubland streams forest,rainforest rainforest scrub creeks forest,,,,,,,,
Nematolepis squamea subsp. coriacea, occur in rocky outcrops on sparse shrubland The St Helena Spur population grows on skeletal Snowy River volcanics  Boundary Creek conglomerate soils ,,,,,,,,,rocky_outcrop,outcrops,outcrop shrubland rocky,outcrops shrubland rocky,,,conglomerate volcanic,conglomerate volcanics,skeletal soil_rocky volcanic,skeletal rocky volcanics,,
