taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_moisture_a,habitat_moisture_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,substrate_a,substrate_f
Verbena litoralis,"*GipP, *VVP.",  ,,,,,,,,,,,,,,
Verbena litoralis var. litoralis,"*GipP, *VVP. Also naturalised WA, Qld, NSW, NI. Native to South America. A weed of disturbed sites and moist sites near watercourses recorded in Victoria in wasteland near a railway line in North Melbourne.", also naturalised native to south america a weed of disturbed sites and moist sites near watercourses recorded in victoria in wasteland near a railway line in north melbourne ,,,,,wet,moist,watercourses,watercourses,,,,,,
Verbena officinalis,"CVU, DunT, EGL, EGU, GipP, Glep, HNF, HSF, MonT, MuF, MuM, OtP, RobP, VAlp, VRiv, VVP, WaP, Wim, *MSB, *NIS, *Strz.",  ,,,,,,,,,,,,,,
Verbena officinalis var. africana,"CVU, EGL, EGU, GipP, HSF, MSB, VRiv, *HNF, *MuF, *MuM, *NIS, *Strz. Also NT, SA, Qld, NSW, Tas.",  ,,,,,,,,,,,,,,
Verbena officinalis var. gaudichaudii,"CVU, DunT, EGL, EGU, GipP, Glep, HNF, HSF, MonT, MuF, MuM, OtP, RobP, VRiv, VVP, WaP, Wim, *Strz. Also NT, SA, Qld, NSW. Widespread throughout the state in clay and loam soils in woodlands, besides watercourses, in disturbed sites along roads and in pastures.", widespread throughout the state in clay and loam soils in woodlands besides watercourses in disturbed sites along roads and in pastures ,widespread,widespread,pasture woodland,pastures pastures woodlands woodlands,,,watercourses,watercourses,,,clay loam,clay loam,,
Verbena officinalis var. halei,"*HSF, *MuF, *MuM, *MSB, *RobP, *VRiv, *VVP. Also naturalised SA, Qld, NSW. Native to North America. Weedy in riverine woodland, along watercourses, and disturbed sites of roadsides and besides tracks in northern Victoria mostly along the Murray River and in the Yarra Valley.", also naturalised native to north america weedy in riverine woodland along watercourses and disturbed sites of roadsidess and besides tracks in northern victoria mostly along the murray river and in the yarra valley ,,,roadside woodland,roadsidess woodland,,,valley watercourses,valley watercourses,,,,,,
Verbena officinalis var. monticola,"EGL, HSF, VAlp, VRiv. Also ? NSW. Known only from a few collections from Mount Buffalo, Mt Evelyn, Milawa and Orbost. On Mount Buffalo, the type locality, it grows in a roadside depression in montane forest on a granitic slope.", also  known only from a few collections from mount buffalo mt evelyn milawa and orbost on mount buffalo the type locality it grows in a roadsides depression in montane forest on a granitic slope ,,,montane roadside forest,montane roadsides forest,,,,,,,,,granite,granitic
Verbena officinalis var. officinalis,"*HNF, *VVP. Also naturalised NT, SA, Qld, NSW. Native to the Mediterranean region.", also naturalised native to the mediterranean region ,,,,,,,,,,,,,,
Verbena rigida,"*CVU, *EGL, *GipP, *HSF, *OtP, *VRiv, *VVP.",  ,,,,,,,,,,,,,,
Verbena rigida var. rigida,"*CVU, *EGL, *GipP, *HSF, *OtP, *VRiv, *VVP. Also naturalised WA, SA, Qld, NSW. Native to South America. A weed of moist ground, apparently uncommon in Victoria, recorded from the Yarra River between Warrandyte and Warburton, and Eildon Reservoir.", also naturalised native to south america a weed of moist ground apparently uncommon in victoria recorded from the yarra river between warrandyte and warburton and eildon reservoir ,uncommon,uncommon,,,wet,moist,,,,,,,,
Verbena supina,"*Gold, *LoM, *MuM, *MSB, *RobP, *VRiv, *VVP, *Wim.",  ,,,,,,,,,,,,,,
Verbena supina var. erecta,"*LoM, *MSB, *RobP, *VRiv, *Wim. Also naturalised SA. Native to the Mediterranean region. Naturalised in north-west Victoria in swampy areas, besides watercourses or in seasonally inundated sites.", also naturalised native to the mediterranean region naturalised in northwest victoria in swampy areas besides watercourses or in seasonally inundated sites ,,,swamp,swampy,wet,swampy,watercourses,watercourses,,,,,,
Verbena supina var. supina,"*MuM, *MSB, *VRiv, *VVP, *Wim. Also naturalised SA. Native to the Mediterranean region. Naturalised mostly in north-western Victoria in wastelands, roadsides, swampy areas, besides watercourses or in seasonally inundated sites.", also naturalised native to the mediterranean region naturalised mostly in northwestern victoria in wastelands roadsidess swampy areas besides watercourses or in seasonally inundated sites ,,,roadside swamp,roadsidess swampy,wet,swampy,watercourses,watercourses,,,,,,
Verbena Ã—brasiliensis,"*Gold, *VVP. Also naturalised Qld, NSW. Native to South America. A weed of disturbed sites, grassland, fringes of forests and near watercourses that has been recorded in Victoria on the Loddon River near Maryborough.", also naturalised native to south america a weed of disturbed sites grassland fringes of forests and near watercourses that has been recorded in victoria on the loddon river near maryborough ,,,grassland forest,grassland forests,,,watercourses,watercourses,,,,,,
Verbesina encelioides,"*MuM, *RobP, *VRiv, *VVP.",  ,,,,,,,,,,,,,,
Verbesina encelioides var. encelioides,"*MuM, *RobP. Also naturalised WA, NT, SA, Qld, NSW. Native to North America. Occasional on roadsides and near watercourses in north-western Victoria, and apparently toxic to stock.", also naturalised native to north america occasional on roadsidess and near watercourses in northwestern victoria and apparently toxic to stock ,,,roadside,roadsidess,,,watercourses,watercourses,,,,,,
Veronica anagallis-aquatica,"*EGL, *EGU, *GipP, *HNF, *HSF, *MuF, *NIS, *SnM, *VRiv, *VVP. Also naturalised SA, Qld, NSW,ACT. Native to Europe and Asia. In Victoria, localised, but locally common along watercourses in the east (e.g. Livingstone Ck near Omeo, Swifts Creek, Snowy and Genoa Rivers), tributaries of the upper Murray River in the Tallangatta-Corryong district and the lower Yarra River near Melbourne.", also naturalised native to europe and asia in victoria localised but locallycommon along watercourses in the east eg livingstone ck near omeo swifts creek snowy and genoa rivers tributaries of the upper murray river in the tallangattacorryong district and the lower yarra river near melbourne ,common_locally,locallycommon,,,,,watercourses,watercourses,,,,,,
Veronica arvensis,"*Brid, *CVU, *DunT, *EGL, *EGU, *GipP, *Gold, *HFE, *HNF, *HSF, *MonT, *MuF, *NIS, *OtP, *SnM, *Strz, *VAlp, *VRiv, *VVP, *WaP, *WPro. Also naturalised WA, SA, Qld, NSW, ACT,Tas. Native to Europe and western Asia. Widespread weed of lawns, gardens and disturbed areas, but also sometimes in native bushland and grassland.", also naturalised native to europe and western asia widespread weed of lawnss gardens and disturbed areas but also sometimes in native bushland and grassland ,widespread,widespread,grassland urban,grassland gardens gardens lawnss,,,,,,,,,,
Veronica calycina,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro, Wim. All states except NT. Except for the north-west and higher subalpine to alpine areas, widespread through the state in forest and woodland communities.", all states except except for the northwest and higher subalpine to alpine areas widespread through the state in forest and woodland communities ,widespread,widespread,subalpine forest woodland,subalpine forest woodland,,,,,,,,,,
Veronica catenata,"*Glep, *Gold, *VVP, *WaP. Also naturalised SA, NSW, New Zealand. Native to Europe and Asia. In Victoria restricted to the far south-west from Mt Eccles to the mouth of the Glenelg River; in running water and on stream banks or marshy ground.", also naturalised new zealand native to europe and asia in victoria restricted to the far southwest from mt eccles to the mouth of the glenelg river in running water and on streambankss or marshy ground ,,,streambanks,streambankss,wet,water,streambanks,streambankss streambankss,,,,,,
Veronica derwentiana,"CVU, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro.",  ,,,,,,,,,,,,,,
Veronica derwentiana subsp. derwentiana,"CVU, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Widespread in moist forests from foothills to subalps.", widespread in moist forests from foothills to subalps ,widespread,widespread,subalpine forest,subalps forests,wet,moist,,,,,,,,
Veronica derwentiana subsp. maideniana,"EGU, GipP, HNF, HSF, SnM, VAlp, VVP, WPro. Confined to higher montane and subalpine areas, on rocky slopes, in grassland, herbfield and eucalypt woodland. In Victoria recorded from Mt Buangor, Snowy Range, Mt Buller, Mt Buffalo, Mt Hotham, Bogong High Plains and Wulgulmerang areas, but apparent intermediates between this and subsp. derwentiana are common in upper subalpine areas.", confined to higher montane and subalpine areas on rockyslopes in grassland herbfield and eucalyptwoodland in victoria recorded from mt buangor snowy range mt buller mt buffalo mt hotham bogong high plains and wulgulmerang areas but apparent intermediates between this and subsp derwentiana are common in upper subalpine areas ,common,common,woodland_eucalypt grassland montane plains subalpine,eucalyptwoodland grassland montane plains subalpine,,,slopes_rocky,rockyslopes,,,rocky,rockys,,
Veronica gracilis,"Brid, CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, VAlp, VRiv, VVP, WaP, Wim. Also SA, NSW, ACT, Tas. Widespread, usually in grassland or grassy woodland, often near streams, soaks, dams etc.", widespread usually in grassland or grassy woodland often near streams soaks dams etc ,widespread,widespread,grassland woodland,grassland woodland,,,,,,,,,,
Veronica grosseserrata,"EGL, EGU, GipP, HNF, MonT, VRiv. Also Qld, NSW, ACT. Apparently uncommon in rainforest and wet sclerophyll forest east from c. Bairnsdale, with an isolated occurrence in the Healesville–Narbethong area.", alsoï¿½apparently uncommon in rainforest and wetsclerophyllforest east from c bairnsdale with an isolated occurrence in the healesvilleï¿½narbethong area ,uncommon,uncommon,forest_wet_sclerophyll rainforest,wetsclerophyllforest rainforest,wet,wets,,,,,,,,
Veronica hederifolia,"*CVU, *GipP, *Gold, *HSF, *VVP. Also naturalised SA, NSW, Tas. Native to Europe. An uncommon weed of gardens and crops, recorded in Victoria from Castlemaine, Kyneton, Lara, Melbourne, Mornington and Stradbroke districts.", also naturalised native to europe an uncommon weed of gardens and crops recorded in victoria from castlemaine kyneton lara melbourne mornington and stradbroke districts ,uncommon,uncommon,urban,gardens gardens,,,,,,,,,,
Veronica hillebrandii,"Brid, WaP. Also SA, Tas. Extremely rare in Victoria where confined to coastal shrubland, in sand over dune limestone near Cape Bridgewater, Portland area.", extremely rare in victoria where confined to coastal shrubland in sand over dune limestone near cape bridgewater portland area ,rare,rare,sandunes shrubland,dune shrubland,,,,,,,sand,sand,calcareous,limestone
Veronica nivea,"NIS, VAlp. Also NSW, Tas. Scattered in alpine and subalpine grassland, heath, bogs, and woodlands, often in disturbed habitats (e.g. road and track margins). Recorded from the Baw Baw and Buffalo Plateaus, Lake Mountain and Falls Creek areas.", scattered in alpine and subalpine grassland heath bogs and woodlands often in disturbed habitats eg road and track margins recorded from the baw baw and buffalo plateauss lake mountain and falls creek areas ,scattered,scattered,bog grassland heath subalpine woodland,bogs bogs grassland heath subalpine woodlands woodlands,,,plateaus,plateauss,,,,,,
Veronica notabilis,"CVU, EGL, EGU, GipP, HFE, HNF, HSF, MonT, OtR, SnM, Strz, VAlp, WPro. Also NSW, Tas. Moderately common in tall eucalypt forest, mostly east of Melbourne, but also Otway and Macedon Ranges.", moderately common in tall eucalypt forest mostly east of melbourne but also otway and macedon ranges ,common,common,forest,forest,,,,,,,,,,
Veronica officinalis,"*CVU. Creeping to ascending perennial; stems rooting below, 10–40 cm long, hirsute. Leaves subsessile or shortly petiolate, obovate, ovate or elliptic, 5–30(–60) mm long, 3–30 mm wide, apex obtuse to subacute, base cuneate, margins crenate to serrate, with ± appressed hairs on both surfaces and margins. Racemes 15–25 flowered; peduncle 20–35 mm long; fruiting pedicels 1–2 mm long, shorter than bracts. Calyx-lobes to 3.8 mm long in fruit; corolla 5–6 mm long, lilac or pale violet, rarely white. Capsule obovate or obcordate, 3–5 mm long, 4–5 mm wide, glandular-hairy; style 2.5–4 mm long. Native to Europe, Azores and western Asia. Naturalized at McGregors Picnic Ground near the summit of Mount Macedon.", creeping to ascending perennial stems rooting below 10ï¿½40 cm long hirsute leaves subsessile or shortly petiolate obovate ovate or elliptic 5ï¿½30ï¿½60 mm long 3ï¿½30 mm wide apex obtuse to subacute base cuneate margins crenate to serrate with ï¿½ appressed hairs on both surfaces and margins racemes 15ï¿½25 flowered peduncle 20ï¿½35 mm long fruiting pedicels 1ï¿½2 mm long shorter than bracts calyxlobes to 38 mm long in fruit corolla 5ï¿½6 mm long lilac or pale violet rarely white capsule obovate or obcordate 3ï¿½5 mm long 4ï¿½5 mm wide glandularhairy style 25ï¿½4 mm long native to europe azores and western asia naturalized at mcgregors picnic ground near the summit of mount macedon ,,,,,,,,,,,,,,
Veronica peregrina,"CVU, GipP, Glep, Gold, HNF, HSF, LoM, MuF, MuM, MSB, NIS, RobP, Strz, VAlp, VRiv, VVP, Wim, *MonT.",  ,,,,,,,,,,,,,,
Veronica peregrina subsp. xalapensis,"CVU, Gold, LoM, MonT, MuF, MuM, NIS, VRiv, VVP, Wim. Also SA, Qld, NSW, ACT, Tas. Widespread but scattered weed, principally around lakes, dams and in seasonally wet depressions and floodplains in the north and north-west of the State, relatively uncommon elsewhere.", widespread but scattered weed principally around lakes dams and in seasonally wet depressions and floodplains in the north and northwest of the state relatively uncommon elsewhere ,scattered uncommon widespread,scattered uncommon widespread,floodplain lakes,floodplains lakes,wet,wet,depressions,depressions,,,,,,
Veronica perfoliata,"CVU, EGL, EGU, Gold, HNF, HSF, MonT, NIS, SnM, VAlp, VRiv, VVP. Also NSW, ACT. Widespread on drier rocky slopes in low open-forest or woodlands, common through auriferous areas of the State.", widespread on dry rockyslopes in low openforest or woodlands common through auriferous areas of the state ,common widespread,common widespread,forest_open woodland,openforest woodlands woodlands,dry,dry,slopes_rocky,rockyslopes,,,rocky,rockys,,
Veronica persica,"*Brid, *CVU, *EGL, *EGU, *GipP, *Gold, *HNF, *HSF, *MuF, *NIS, *OtP, *OtR, *Strz, *VRiv, *VVP, *WaP, *Wim. Naturalised all States except NT. Native to south-west Asia. A widespread weed in pasture, crops, roadsides, disturbed sites, stockyards and gardens.", naturalised all states except native to southwest asia a widespread weed in pasture crops roadsidess disturbed sites stockyards and gardens ,widespread,widespread,pasture roadside urban,pasture roadsidess gardens gardens,,,,,,,,,,
Veronica plebeia,"CVU, DunT, EGL, EGU, GipP, Gold, GGr, HFE, HNF, HSF, LoM, MuM, NIS, OtP, Strz, VRiv, VVP, WPro, Wim. Also WA, SA, Qld, NSW, NI (naturalised), Tas. Largely co-extensive with the similar Veronica calycina, but often in drier sites.", alsoï¿½ni naturalised largely coextensive with the similar veronica calycina but often in dry sites ,,,,,dry,dry,,,,,,,,
Veronica serpyllifolia,"CVU, EGL, EGU, HNF, HSF, NIS, OtR, SnM, Strz, VRiv, VVP, WPro, *GipP, *VAlp. Also Qld, NSW, ACT, Tas. New Zealand, Europe, western Asia. In Victoria mostly in moist peaty soils, soaks and along stream margins, in montane to alpine areas, Portland district and Otway Range, occasionally a weed of well-watered lawns and gardens (e.g. Trentham, Trafalgar, Melbourne suburbs).", new zealand europe western asia in victoria mostly in moist peaty soils soaks and along stream margins in montane to alpine areas portland district and otway range occasionally a weed of wellwatered lawnss and gardens eg trentham trafalgar melbourne suburbs ,,,montane urban,montane gardens gardens lawnss,wet,moist,,,,,peat,peaty,,
Veronica speciosa,"*HSF, *VVP. Also naturalised SA. Native to New Zealand. Recorded twice in Victoria, on a steep rocky slope beside the road at Walhalla and along the Yarrowee River in Ballarat.", also naturalised native to new zealand recorded twice in victoria on a steep rocky slope beside the road at walhalla and along the yarrowee river in ballarat ,,,,,,,,,,,rocky,rocky,,
Veronica subtilis,"CVU, DunT, EGL, EGU, GipP, Glep, GGr, HNF, HSF, MonT, SnM, VAlp, VRiv, VVP. Also SA, NSW, ACT. Occassional, in moist grassland and grassy woodland, often in montane or subalpine areas in the east (e.g. Mt Hotham, Nunniong Plateau, Cobberas Mountains), but near sea-level in the far south-west.", alsoï¿½occassional in moist grassland and grassy woodland often in montane or subalpine areas in the east eg mt hotham nunniong plateaus cobberas mountains but near sealevel in the far southwest ,,,grassland montane subalpine woodland,grassland montane subalpine woodland,wet,moist,mountains plateaus,mountains plateaus,,,,,,
Viburnum tinus,"*CVU, *GipP, *Gold, *HSF. Also possibly naturalised SA, ACT, Tas. Native to southern Europe. Weakly naturalised at a number of localities, usually in moist to wet forests adjoining gardens, presumably from seed deposited by birds that feed on the fleshy drupes.", also possibly naturalised native to southern europe weakly naturalised at a number of localities usually in moist to wetforests adjoining gardens presumably from seed deposited by birds that feed on the fleshy drupes ,,,forest_wet urban,wetforests gardens gardens,wet,moist,,,,,,,,
Vicia disperma,"*GipP, *HSF. Also naturalised NSW, ACT. Native to south-western Europe. Recorded only from a few localities immediately to the east of Melbourne such as Bayswater, Belgrave, Tecoma and the Dandenong Ranges.", also naturalised native to southwestern europe recorded only from a few localities immediately to the east of melbourne such as bayswater belgrave tecoma and the dandenong ranges ,,,,,,,,,,,,,,
Vicia hirsuta,"*CVU, *EGL, *EGU, *GipP, *Glep, *Gold, *HSF, *MuF, *MuM, *NIS, *OtP, *OtR, *Strz, *VRiv, *VVP, *WaP, *Wim. Also naturalised WA, SA, Qld, NSW, ACT, Tas., New Zealand. Native to Europe, northern Africa, western Asia. Widespread across the state where found in drier areas on roadsides, in pasture and other disturbed sites.", also naturalised  new zealand native to europe northern africa western asia widespread across the state where found in dry areas on roadsidess in pasture and other disturbed sites ,widespread,widespread,pasture roadside,pasture roadsidess,dry,dry,,,,,,,,
Vicia monantha,"*MuF, *MuM, *MSB, *RobP, *Strz, *Wim.",  ,,,,,,,,,,,,,,
Vicia monantha subsp. monantha,"*MuM, *MSB, *Wim. Also naturalised NT, SA, Qld, NSW. Native to Europe. Recorded for a few places in the north-west of the state where found on disturbed areas such as pastures and roadsides.", also naturalised native to europe recorded for a few places in the northwest of the state where found on disturbed areas such as pastures and roadsidess ,,,pasture roadside,pastures pastures roadsidess,,,,,,,,,,
Vicia monantha subsp. triflora,"*MuM, *MSB, *RobP, *Strz. Also naturalised WA, NT, SA, Qld, NSW. Native to Europe. Recorded from several localities in the far north-west of the state and at a single site in South Gippsland; usually on disturbed areas such as pastures and roadsides.", also naturalised native to europe recorded from several localities in the far northwest of the state and at a single site in south gippsland usually on disturbed areas such as pastures and roadsidess ,,,pasture roadside,pastures pastures roadsidess,,,,,,,,,,
Vicia sativa,"*CVU, *DunT, *EGL, *EGU, *GipP, *Glep, *Gold, *GGr, *HNF, *HSF, *LoM, *MonT, *MuF, *MuM, *MSB, *NIS, *OtP, *OtR, *RobP, *SnM, *Strz, *VAlp, *VRiv, *VVP, *WaP, *WPro, *Wim.",  ,,,,,,,,,,,,,,
Vicia sativa subsp. cordata,"*CVU, *DunT, *HSF, *MuF, *VVP. Also naturalised WA, SA, NSW, ACT. Occasional weed in Victoria particularly on roadsides and other disturbed areas.", also naturalised occasional weed in victoria particularly on roadsidess and other disturbed areas ,,,roadside,roadsidess,,,,,,,,,,
Vicia sativa subsp. nigra,"*CVU, *DunT, *EGL, *GipP, *Gold, *HNF, *HSF, *LoM, *MonT, *MuF, *MuM, *NIS, *OtP, *OtR, *SnM, *Strz, *VAlp, *VRiv, *VVP, *WaP, *Wim. Naturalised all States except NT. New Zealand.Scattered throughout much of Victoria where introduced as a fodder plant.", naturalised all states except new zealandscattered throughout much of victoria where introduced as a fodder plant ,,,,,,,,,,,,,,
Vicia sativa subsp. sativa,"*CVU, *DunT, *GipP, *Gold, *HNF, *HSF, *LoM, *MuF, *NIS, *OtP, *VRiv, *VVP, *Wim. Also naturalised WA, SA, Qld, NSW, Tas. Scattered throughout much of Victoria where introduced as a fodder plant.", also naturalised scattered throughout much of victoria where introduced as a fodder plant ,scattered,scattered,,,,,,,,,,,,
Vicia tetrasperma,"*CVU, *GipP, *Glep, *Gold, *HNF, *HSF, *MuF, *MuM, *NIS, *OtP, *OtR, *Strz, *VRiv, *VVP. Also naturalised WA, SA, Qld, NSW, Tas., New Zealand. Native to Europe, North Africa, Asia. Widespread across the state where found in damp situations on roadsides, in pasture and other disturbed sites.", also naturalised  new zealand native to europe north africa asia widespread across the state where found in damp situations on roadsidess in pasture and other disturbed sites ,widespread,widespread,pasture roadside,pasture roadsidess,damp wet,damp damp,,,,,,,,
Vicia villosa,"*EGL, *Glep, *HSF, *MuM, *VRiv, *VVP, *Wim.",  ,,,,,,,,,,,,,,
Vicia villosa subsp. eriocarpa,"*EGL, *Glep, *MuM, *Wim. Also naturalised WA, SA, Qld, NSW, Tas. Native to Europe, the Middle East, south-western Asia. Known from a few disjunct collections in Victoria, usually on disturbed sites such as pastures and roadsides.", also naturalised native to europe the middle east southwestern asia known from a few disjunct collections in victoria usually on disturbed sites such as pastures and roadsidess ,,,pasture roadside,pastures pastures roadsidess,,,,,,,,,,
Vicia villosa subsp. villosa,"*HSF, *VRiv, *VVP. Also naturalised NSW, Tas. Native to Europe, the Middle East, western Asia. Known in Victoria from 3 small populations, near Westmere, Rochester and North Blackburn.", also naturalised native to europe the middle east western asia known in victoria from 3 small populations near westmere rochester and north blackburn ,,,,,,,,,,,,,,
Viminaria juncea,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HNF, HSF, LoM, MuM, NIS, OtP, Strz, VRiv, VVP, WaP, WPro, Wim. Also WA, SA, Qld, NSW, Tas. Widespread and often locally common, mostly across higher rainfall parts of the State. Often grows in swampy depressions in heathland or woodland.", widespread and often locallycommon mostly across higher rainfall parts of the state often grows in swampy depressions in heathland or woodland ,common_locally widespread,locallycommon widespread,heath swamp woodland,heathland swampy woodland,wet,swampy,depressions,depressions,,,,,,
Vinca major,"*CVU, *DunT, *EGL, *EGU, *GipP, *Glep, *Gold, *GGr, *HNF, *HSF, *MuF, *NIS, *OtP, *OtR, *SnM, *Strz, *VAlp, *VRiv, *VVP, *WaP, *WPro, *Wim. Also naturalised WA, SA, Qld, NSW, Tas. Native to the Mediterranean region. A frequently cultivated garden ornamental that has become widely naturalised along roadsides and other disturbed sites particularly in moist riparian situations.", also naturalised native to the mediterranean region a frequently cultivated garden ornamental that has become widely naturalised along roadsidess and other disturbed sites particularly in moist riparian situations ,,,cultivated riparian roadside urban,cultivated riparian roadsidess garden,wet,moist,,,,,,,,
Vinca minor,"*HSF, *VAlp. Native to Europe. A garden escape in the Dandenong Ranges at Sherbrooke and at Falls Creek.", native to europe a garden escape in the dandenong ranges at sherbrooke and at falls creek ,,,urban,garden,,,,,,,,,,
Viola arvensis,"*EGU, *HNF, *HSF, *SnM, *VAlp. Also naturalised NSW, ACT, Tas. Native to Europe, northern Africa and western Asia. A weed of mostly high altitude grasslands (e.g. Dargo High Plain, Mt Buller) where distributed by cattle, possibly also naturalised elsewhere.", also naturalised native to europe northern africa and western asia a weed of mostly high altitude grasslands eg dargo high plain mt buller where distributed by cattle possibly also naturalised elsewhere ,,,grassland grasslands,grasslands grasslands,,,,,,,,,,
Viola banksii,"*HSF. Native to Qld, NSW. Widely cultivated, recorded as naturalised in moist, shaded forest near Healesville, presumably as a result of dumping of garden waste.", native to widely cultivated recorded as naturalised in moist shaded forest near healesville presumably as a result of dumping of garden waste ,,,cultivated urban forest,cultivated garden forest,wet,moist,,,,,,,,
Viola betonicifolia,"CVU, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, MuF, NIS, OtP, SnM, VAlp, VRiv, VVP, WaP, WPro.",  ,,,,,,,,,,,,,,
Viola betonicifolia subsp. betonicifolia,"CVU, EGL, EGU, GipP, Glep, Gold, GGr, HNF, HSF, MonT, MuF, NIS, OtP, SnM, VAlp, VRiv, VVP, WaP, WPro. Widespread, occurring in a variety of habitats from rather dry, stony woodlands at low altitude to damp alpine herbfields.", widespread occurring in a varietyofhabitats from rather dry stony woodlands at low altitude to damp alpine herbfields ,widespread,widespread,various herbland woodland,varietyofhabitats herbfields woodlands woodlands,damp dry wet,damp dry damp,,,,,,,,
Viola betonicifolia subsp. novaguineensis,"EGU, GipP, Glep, HNF, HSF, MuF, VAlp, VRiv. Confined largely to forests fringing the Murray River and its major tributaries, particularly between Wodonga and Echuca, but with scattered occurrences in the south (e.g. Yarra River flats; rocky banks of the Snowy River, where locally common in pockets of sand amongst boulders).", confined largely to forests fringing the murray river and its major tributaries particularly between wodonga and echuca but with scattered occurrences in the south eg yarra riverflats rocky banks of the snowy river where locallycommon in pockets of sand amongst boulders ,common_locally scattered,locallycommon scattered,forest,forests,,,flats,riverflats,,,rocky sand,rocky sand,,
Viola caleyana,"EGL, EGU, GipP, HNF, MonT, NIS, VRiv. Also NSW, Tas. Grows in moist areas near streams, often in silt and gravel between rocks, in far north-eastern and eastern Victoria.", grows in moist areas near streams often in silt and gravel between rocks in far northeastern and eastern victoria ,,,,,wet,moist,,,,,silt,silt,,
Viola cleistogamoides,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HNF, HSF, OtP, OtR, Strz, VVP, WaP, WPro, Wim. Also SA, NSW, Tas. Occurs in wettish heathland on sand, but also on skeletal soils in dry forest and woodland, mostly near-coastal.", occurs in wettish heathland on sand but also on skeletal soils in dryforest and woodland mostly nearcoastal ,,,forest_dry heath woodland,dryforest heathland woodland,,,,,,,sand skeletal,sand skeletal,,
Viola curtisiae,"Also Tas. In Victoria apparently confined to the Baw Baw Plateau (near Mt Erica and Baw Baw village) and there occurring in tall open forest above 1000 metres altitude, dominated by combinations of Eucalyptus regnans, E. nitens, E. delegatensis and E. glaucescens, with scattered Nothofagus cunninghamii.", in victoria apparently confined to the baw baw plateaus near mt erica and baw baw village and there occurring in tall openforest above 1000 metres altitude dominated by combinations of eucalyptus regnans e nitens e delegatensis and e glaucescens with scattered nothofagus cunninghamii ,scattered,scattered,forest_open,openforest,,,plateaus,plateaus,,,,,,
Viola eminens,"CVU, EGL, EGU, GipP, GGr, HFE, HNF, HSF, MonT, OtP, Strz, VAlp, VVP. Mostly moist montane to subalpine forests from near Kinglake east, sometimes extending to alpine bogs, but also toward sea level in gullies and wetter forests in the far east. In the Grampians mostly associated with streams where sometimes in more exposed sites (e.g. Mt William, Zumsteins).", mostly moist montane to subalpine forests from near kinglake east sometimes extending to alpinebogs but also toward sea level in gullies and wetter forests in the far east in the grampians mostly associated with streams where sometimes in more exposed sites eg mt william zumsteins ,,,bog_alpine montane subalpine forest,alpinebogs montane subalpine forests,wet,moist,gullies,gullies,,,,,,
Viola fuscoviolacea,"GipP, HNF, SnM, VAlp. Also NSW, Tas. Grows in damp alpine herbfields of the alps (e.g. Buffalo Plateau, Bogong High Plains, Mt Wellington, Nunniong Plateau) with isolated occurrences in near-coastal Lepidosperma longitudinale sedgeland between Wilsons Promontory and Sale.", grows in damp alpine herbfields of the alps eg buffalo plateaus bogong high plains mt wellington nunniong plateaus with isolated occurrences in nearcoastal lepidosperma longitudinale sedgeland between wilsons promontory and sale ,,,alpine herbland plains,alps herbfields plains,damp wet,damp damp,plateaus,plateaus,,,,,,
Viola hederacea,"Brid, CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, MuF, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro, Wim. Also SA, NSW, Tas. Widespread, from the northern foothills of the Dividing Range south to the coast, mostly in sheltered, moist habitats from sea-level to subalps.", widespread from the northern foothills of the dividing range south to the coast mostly in sheltered moist habitats from sealevel to subalps ,widespread,widespread,subalpine,subalps,wet,moist,,,,,,,,
Viola improcera,"SnM, VAlp. Also ACT. Known only from a single locality in Australian Capital Territory and 2 localities in eastern Victoria (Mt Useful and the Nunniong Plateau) where growing in high-altitude open shrubland or Snow-gum woodland.", known only from a single locality in australian capital territory and 2 localities in eastern victoria mt useful and the nunniong plateaus where growing in highaltitude open shrubland or snowgum woodland ,,,shrubland woodland,shrubland woodland,,,plateaus,plateaus,,,,,,
