vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
,SW,Labichea cassioides,2,1,143,1,6,6,1,157,13,0.636942675,3.821656051,3.821656051,8.280254777,0.636942675
,SW,Labichea cassioides,3,1,132,23,1,0,0,156,1,0,0.641025641,0,0.641025641,14.74358974
,SW,Labichea cassioides,4,1,143,0,1,1,0,145,2,0,0.689655172,0.689655172,1.379310345,0
,SW,Labichea cassioides,5,1,118,1,13,10,9,151,32,5.960264901,8.609271523,6.622516556,21.19205298,0.662251656
,SW,Labichea cassioides,6,1,131,3,0,0,0,134,0,0,0,0,0,2.23880597
,SW,Labichea cassioides,7,1,133,17,0,0,0,150,0,0,0,0,0,11.33333333
,SW,Labichea cassioides,8,1,100,22,13,13,4,152,30,2.631578947,8.552631579,8.552631579,19.73684211,14.47368421
,SW,Labichea cassioides,9,1,142,13,1,1,0,157,2,0,0.636942675,0.636942675,1.27388535,8.280254777
,SW,Labichea cassioides,10,1,142,10,0,0,0,152,0,0,0,0,0,6.578947368
,SW,Melaleuca systena,2,1,115,0,14,14,0,143,28,0,9.79020979,9.79020979,19.58041958,0
,SW,Melaleuca systena,3,1,146,4,0,0,0,150,0,0,0,0,0,2.666666667
19,SW,Melaleuca systena,4,1,129,4,8,7,0,148,15,0,5.405405405,4.72972973,10.13513514,2.702702703
,SW,Melaleuca systena,8,1,90,0,6,3,5,104,14,4.807692308,5.769230769,2.884615385,13.46153846,0
